symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
AIRLINK,2026-03-04,-0.02486910994764402,0.039576214,False,5833.380000000014,BUY,SHORT,-2916.690000000007,2916.690000000007,97083.31,102916.69
AIRLINK,2026-03-05,0.01649089165867701,8.3057246e-05,True,0.0,BUY,BUY,1885.980000000009,1885.980000000009,98969.29000000001,104802.67000000001
AIRLINK,2026-03-06,-0.04099855373200034,0.00062640023,False,9532.240000000014,BUY,SHORT,-4766.120000000007,4766.120000000007,94203.17,109568.79000000002
AIRLINK,2026-03-09,-0.09999344305291458,0.0017725473,False,22295.5,BUY,SHORT,-11147.75,11147.75,83055.42,120716.54000000002
AIRLINK,2026-03-10,0.04116275681188997,0.00032005375,True,0.0,BUY,BUY,4130.150000000004,4130.150000000004,87185.57,124846.69000000003
AIRLINK,2026-03-11,-0.029529074242530262,0.003098312,False,6169.6399999999985,BUY,SHORT,-3084.8199999999993,3084.8199999999993,84100.75,127931.51000000002
AIRLINK,2026-03-12,-0.019756291008724558,-2.820746e-05,True,0.0,SHORT,SHORT,2002.9400000000066,2002.9400000000066,86103.69,129934.45000000004
AIRLINK,2026-03-13,0.027436557557925845,0.0040280153,True,0.0,BUY,BUY,2726.6300000000133,2726.6300000000133,88830.32000000002,132661.08000000005
AIRLINK,2026-03-16,-0.015535509736540831,0.010705025,False,3172.540000000023,BUY,SHORT,-1586.2700000000116,1586.2700000000116,87244.05,134247.35000000006
AIRLINK,2026-03-17,0.015780670496691185,0.0031439594,True,0.0,BUY,BUY,1586.2700000000116,1586.2700000000116,88830.32000000002,135833.62000000005
AIRLINK,2026-03-18,0.0017898052691867061,-0.008136707,False,365.5,SHORT,BUY,-182.75,182.75,88647.57000000002,136016.37000000005
AIRLINK,2026-03-19,-0.021939541199170964,-0.004160476,True,0.0,SHORT,SHORT,2244.169999999995,2244.169999999995,90891.74000000002,138260.54000000007
AIRLINK,2026-03-24,-0.010010229431535955,0.006811126,False,2002.9400000000066,BUY,SHORT,-1001.4700000000033,1001.4700000000033,89890.27000000002,139262.01000000007
AIRLINK,2026-03-25,0.033065170861318105,-0.0021213787,False,6549.759999999985,SHORT,BUY,-3274.8799999999924,3274.8799999999924,86615.39000000001,142536.89000000007
AIRLINK,2026-03-26,-0.03172108308923338,-0.00046674936,True,0.0,SHORT,SHORT,3245.6399999999985,3245.6399999999985,89861.03000000001,145782.53000000006
AIRLINK,2026-03-27,-0.011731719914410133,-0.0015614767,True,0.0,SHORT,SHORT,1162.2900000000025,1162.2900000000025,91023.32000000002,146944.82000000007
AIRLINK,2026-03-30,-0.07122592205465128,-0.00807971,True,0.0,SHORT,SHORT,6973.739999999994,6973.739999999994,97997.06000000001,153918.56000000006
AIRLINK,2026-03-31,-0.003215434083601365,-0.0045764293,True,0.0,SHORT,SHORT,292.4000000000042,292.4000000000042,98289.46000000002,154210.96000000005
AIRLINK,2026-04-01,0.06427419354838704,-0.008132039,False,11652.139999999998,SHORT,BUY,-5826.069999999999,5826.069999999999,92463.39000000001,160037.03000000006
AIRLINK,2026-04-02,-0.026521179055846056,-0.0012047068,True,0.0,SHORT,SHORT,2558.5,2558.5,95021.89000000001,162595.53000000006
AIRLINK,2026-04-03,-0.042811551334941966,0.0004308379,False,8041.0,BUY,SHORT,-4020.5,4020.5,91001.39000000001,166616.03000000006
AIRLINK,2026-04-06,0.01309262421728885,-0.0050930176,False,2353.8199999999993,SHORT,BUY,-1176.9099999999996,1176.9099999999996,89824.48000000003,167792.94000000006
AIRLINK,2026-04-07,0.005699149141114246,-0.006341876,False,1038.0200000000116,SHORT,BUY,-519.0100000000058,519.0100000000058,89305.47000000002,168311.95000000007
AIRLINK,2026-04-08,0.10000798148295953,-0.0034122274,False,18318.859999999982,SHORT,BUY,-9159.429999999991,9159.429999999991,80146.04000000002,177471.38000000006
AIRLINK,2026-04-09,0.006240023218691215,0.0015064002,True,0.0,BUY,BUY,628.66000000001,628.66000000001,80774.70000000004,178100.04000000007
