symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
BHAT,2026-03-12,0.0,0.0024103194,False,0.0,BUY,HOLD,0.0,0.0,100000.0,100000.0
BHAT,2026-03-16,0.058139534883721034,-0.005624311,False,12800.0,SHORT,BUY,-6400.0,6400.0,93600.0,106400.0
BHAT,2026-03-17,0.0,-0.0014840759,False,0.0,SHORT,HOLD,-0.0,0.0,93600.0,106400.0
BHAT,2026-03-24,-0.03296703296703296,-0.012027665,True,0.0,SHORT,SHORT,3840.0,3840.0,97440.0,110240.0
BHAT,2026-03-27,0.0,0.011374306,False,0.0,BUY,HOLD,0.0,0.0,97440.0,110240.0
BHAT,2026-03-30,0.017045454545454586,-0.010451537,False,3840.0,SHORT,BUY,-1920.0,1920.0,95520.0,112160.0
BHAT,2026-04-01,0.0,0.009668481,False,0.0,BUY,HOLD,0.0,0.0,95520.0,112160.0
BHAT,2026-04-02,-0.09862569832402235,0.0033599862,False,22597.119999999995,BUY,SHORT,-11298.559999999998,11298.559999999998,84221.44,123458.56
BHAT,2026-04-03,-0.07593618682830683,-0.0038983182,True,0.0,SHORT,SHORT,7841.279999999999,7841.279999999999,92062.72,131299.84
BHAT,2026-04-06,0.026198237353615816,-0.011743737,False,4999.679999999993,SHORT,BUY,-2499.8399999999965,2499.8399999999965,89562.88,133799.68
BHAT,2026-04-07,0.0,0.00045761047,False,0.0,BUY,HOLD,0.0,0.0,89562.88,133799.68
BHAT,2026-04-08,0.020156862745098092,-0.0035839307,False,3947.5199999999895,SHORT,BUY,-1973.7599999999948,1973.7599999999948,87589.12000000001,135773.44
BHAT,2026-04-09,0.0,0.0116167385,False,0.0,BUY,HOLD,0.0,0.0,87589.12000000001,135773.44
