symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
BRRG,2026-03-04,-0.013068610203568642,-0.0119642731280123,True,0.0,SHORT,SHORT,1350.4399999999896,1350.4399999999896,101350.43999999999,101350.43999999999
BRRG,2026-03-05,0.015024191494779737,0.0068209947256342,True,0.0,BUY,BUY,1532.2299999999905,1532.2299999999905,102882.66999999998,102882.66999999998
BRRG,2026-03-06,-0.016056196688409408,0.0058416378768411,False,3324.160000000003,BUY,SHORT,-1662.0800000000015,1662.0800000000015,101220.58999999998,104544.74999999999
BRRG,2026-03-09,0.011728709841917428,-0.0003528916313273,False,2389.2400000000043,SHORT,BUY,-1194.6200000000022,1194.6200000000022,100025.96999999997,105739.36999999998
BRRG,2026-03-10,-0.024697580645161255,-0.0001213490354173,True,0.0,SHORT,SHORT,2545.0599999999918,2545.0599999999918,102571.02999999997,108284.42999999998
BRRG,2026-03-11,0.010077519379845024,0.0076672477382746,True,0.0,BUY,BUY,1012.8300000000015,1012.8300000000015,103583.85999999997,109297.25999999998
BRRG,2026-03-12,-0.008186236889230036,-0.0022822421979365,True,0.0,SHORT,SHORT,831.0400000000008,831.0400000000008,104414.89999999997,110128.29999999997
BRRG,2026-03-13,-0.004126902244003139,0.0009410719148662,False,831.0400000000192,BUY,SHORT,-415.5200000000096,415.5200000000096,103999.37999999996,110543.81999999999
BRRG,2026-03-16,-0.005180005180005276,0.0049395565631527,False,1038.8000000000147,BUY,SHORT,-519.4000000000074,519.4000000000074,103479.97999999995,111063.22
BRRG,2026-03-17,-0.010413954699297068,0.003182672668451,False,2077.5999999999926,BUY,SHORT,-1038.7999999999963,1038.7999999999963,102441.17999999996,112102.01999999999
BRRG,2026-03-18,0.0049986845566958316,0.0075703861977561,True,0.0,BUY,BUY,493.43000000001257,493.43000000001257,102934.60999999997,112595.45000000001
BRRG,2026-03-19,0.00785340314136107,0.0003604229248026,True,0.0,BUY,BUY,779.0999999999926,779.0999999999926,103713.70999999996,113374.55
BRRG,2026-03-24,0.0277922077922077,0.000944071005613,True,0.0,BUY,BUY,2778.790000000001,2778.790000000001,106492.49999999997,116153.34
BRRG,2026-03-25,-0.023502653525398043,0.0017035154222851,False,4830.419999999998,BUY,SHORT,-2415.209999999999,2415.209999999999,104077.28999999996,118568.54999999999
BRRG,2026-03-26,0.0,-0.0010959851639546,False,0.0,SHORT,HOLD,-0.0,0.0,104077.28999999996,118568.54999999999
BRRG,2026-03-27,-0.02329192546583847,0.002784480336338,False,4674.599999999992,BUY,SHORT,-2337.299999999996,2337.299999999996,101739.98999999996,120905.84999999999
BRRG,2026-03-30,-0.019607843137254943,0.0008706720244547,False,3843.5600000000104,BUY,SHORT,-1921.7800000000052,1921.7800000000052,99818.20999999996,122827.63
BRRG,2026-03-31,0.027837837837837887,4.839407355087897e-06,True,0.0,BUY,BUY,2674.910000000003,2674.910000000003,102493.11999999997,125502.54000000001
BRRG,2026-04-01,0.01472521693399953,-0.0005810506084437,False,2908.6400000000117,SHORT,BUY,-1454.3200000000058,1454.3200000000058,101038.79999999996,126956.86000000002
BRRG,2026-04-02,0.03524229074889873,-0.0009067763455855,False,7063.839999999997,SHORT,BUY,-3531.9199999999987,3531.9199999999987,97506.87999999996,130488.78
BRRG,2026-04-03,0.016770963704630715,-0.0001348983176732,False,3479.979999999972,SHORT,BUY,-1739.989999999986,1739.989999999986,95766.88999999997,132228.77
BRRG,2026-04-06,0.009354997538158605,0.0004463984480694,True,0.0,BUY,BUY,986.8600000000066,986.8600000000066,96753.74999999999,133215.63
BRRG,2026-04-07,-0.03878048780487808,0.0006287676169996,False,8258.460000000017,BUY,SHORT,-4129.230000000009,4129.230000000009,92624.51999999997,137344.86000000002
BRRG,2026-04-08,0.033494037046434944,-0.0014325536257877,False,6856.080000000002,SHORT,BUY,-3428.040000000001,3428.040000000001,89196.47999999997,140772.90000000002
BRRG,2026-04-09,-0.014240117849251166,0.0023809423414174,False,3012.5199999999913,BUY,SHORT,-1506.2599999999957,1506.2599999999957,87690.21999999997,142279.16
