symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
CEPB,2026-03-04,0.07445632141540726,0.0033673708535543,True,0.0,BUY,BUY,7334.619999999998,7334.619999999998,107334.62,107334.62
CEPB,2026-03-05,0.0672384219554032,0.0065816054423636,True,0.0,BUY,BUY,7116.760000000003,7116.760000000003,114451.38,114451.38
CEPB,2026-03-06,-0.019607843137254832,0.0073769438856384,False,4429.819999999996,BUY,SHORT,-2214.909999999998,2214.909999999998,112236.47,116666.29000000001
CEPB,2026-03-09,-0.0957377049180328,-0.0116211891926413,True,0.0,SHORT,SHORT,10602.520000000006,10602.520000000006,122838.99,127268.81
CEPB,2026-03-10,0.08121827411167515,-0.011316594141963,False,16266.880000000014,SHORT,BUY,-8133.440000000007,8133.440000000007,114705.55,135402.25
CEPB,2026-03-11,-0.014419852448021464,0.0071417324301929,False,3122.659999999998,BUY,SHORT,-1561.329999999999,1561.329999999999,113144.22,136963.58000000002
CEPB,2026-03-12,-0.01701258931609395,0.0073681357053449,False,3631.0,BUY,SHORT,-1815.5,1815.5,111328.72,138779.08000000002
CEPB,2026-03-13,-0.01696088611976465,0.0054092206413283,False,3558.3800000000147,BUY,SHORT,-1779.1900000000073,1779.1900000000073,109549.53,140558.27000000002
CEPB,2026-03-16,-0.06021126760563367,0.0083600765045212,False,12418.01999999998,BUY,SHORT,-6209.00999999999,6209.00999999999,103340.52,146767.28000000003
CEPB,2026-03-17,0.042337954289996205,0.0088577893245504,True,0.0,BUY,BUY,4103.029999999996,4103.029999999996,107443.55,150870.31
CEPB,2026-03-18,0.008267433501078392,-0.0104622028160482,False,1670.2600000000032,SHORT,BUY,-835.1300000000016,835.1300000000016,106608.42,151705.44
CEPB,2026-03-19,-0.018181818181818188,-0.010493211908671,True,0.0,SHORT,SHORT,1851.8100000000056,1851.8100000000056,108460.23000000001,153557.25000000003
CEPB,2026-03-24,0.004357298474945592,0.0052485157059461,True,0.0,BUY,BUY,435.7200000000036,435.7200000000036,108895.95000000001,153992.97000000003
CEPB,2026-03-25,0.049891540130151846,0.0079118608434376,True,0.0,BUY,BUY,5010.779999999996,5010.779999999996,113906.73000000001,159003.75000000003
CEPB,2026-03-26,-0.050619834710743716,0.0081566986751808,False,10675.139999999992,BUY,SHORT,-5337.569999999996,5337.569999999996,108569.16,164341.32
CEPB,2026-03-27,-0.01088139281828071,-0.0113747052583657,True,0.0,SHORT,SHORT,1089.3000000000027,1089.3000000000027,109658.46000000002,165430.62000000002
CEPB,2026-03-30,-0.053171983865053174,-0.0115703243548464,True,0.0,SHORT,SHORT,5264.949999999997,5264.949999999997,114923.41,170695.57
CEPB,2026-03-31,0.010069713400464586,0.006435187664483,True,0.0,BUY,BUY,944.0599999999928,944.0599999999928,115867.47,171639.63
CEPB,2026-04-01,0.04639570552147232,0.0062686158826722,True,0.0,BUY,BUY,4393.510000000003,4393.510000000003,120260.98000000001,176033.14
CEPB,2026-04-02,-0.03517772077684134,0.0039867467883864,False,6971.520000000006,BUY,SHORT,-3485.760000000003,3485.760000000003,116775.22,179518.90000000002
CEPB,2026-04-03,-0.022028104823395345,0.0066923113519502,False,4211.959999999987,BUY,SHORT,-2105.9799999999937,2105.9799999999937,114669.24,181624.88000000003
CEPB,2026-04-06,0.0011650485436893732,0.0070272980829087,True,0.0,BUY,BUY,108.93000000000413,108.93000000000413,114778.17000000001,181733.81000000006
CEPB,2026-04-07,-0.0007757951900697613,-0.0123708033850209,True,0.0,SHORT,SHORT,72.61999999999846,72.61999999999846,114850.79000000001,181806.43000000005
CEPB,2026-04-08,0.10015527950310554,-0.0123961254664857,False,18735.95999999999,SHORT,BUY,-9367.979999999994,9367.979999999994,105482.81000000003,191174.41000000003
CEPB,2026-04-09,0.032110091743119185,0.0058093513725724,True,0.0,BUY,BUY,3304.2100000000005,3304.2100000000005,108787.02000000002,194478.62000000005
