symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
CFL,2026-03-04,0.0,-0.0364669656777867,False,0.0,SHORT,HOLD,-0.0,0.0,100000.0,100000.0
CFL,2026-03-05,0.0,-0.0299979231174042,False,0.0,SHORT,HOLD,-0.0,0.0,100000.0,100000.0
CFL,2026-03-06,0.0,-0.0465911012440124,False,0.0,SHORT,HOLD,-0.0,0.0,100000.0,100000.0
CFL,2026-03-09,0.0,-0.0355526465335869,False,0.0,SHORT,HOLD,-0.0,0.0,100000.0,100000.0
CFL,2026-03-10,0.0,-0.0389528508268481,False,0.0,SHORT,HOLD,-0.0,0.0,100000.0,100000.0
CFL,2026-03-13,0.0,-0.0592533886488309,False,0.0,SHORT,HOLD,-0.0,0.0,100000.0,100000.0
CFL,2026-03-16,0.0,-0.0518308081994034,False,0.0,SHORT,HOLD,-0.0,0.0,100000.0,100000.0
CFL,2026-03-17,-0.09546074420416906,-0.0669850827715288,True,0.0,SHORT,SHORT,9594.199999999997,9594.199999999997,109594.2,109594.2
CFL,2026-03-18,0.09993538660348911,-0.054038645532833,False,18170.24,SHORT,BUY,-9085.12,9085.12,100509.08,118679.32
CFL,2026-03-19,0.0,-0.0550893386213621,False,0.0,SHORT,HOLD,-0.0,0.0,100509.08,118679.32
CFL,2026-03-24,0.0,-0.0661279804944447,False,0.0,SHORT,HOLD,-0.0,0.0,100509.08,118679.32
CFL,2026-03-25,0.0,-0.0550735583770307,False,0.0,SHORT,HOLD,-0.0,0.0,100509.08,118679.32
CFL,2026-03-26,0.0,-0.0664403870828522,False,0.0,SHORT,HOLD,-0.0,0.0,100509.08,118679.32
CFL,2026-03-27,0.0,-0.0496299142351945,False,0.0,SHORT,HOLD,-0.0,0.0,100509.08,118679.32
CFL,2026-03-30,0.0,-0.0468226384420956,False,0.0,SHORT,HOLD,-0.0,0.0,100509.08,118679.32
CFL,2026-03-31,0.0,-0.0487421242732815,False,0.0,SHORT,HOLD,-0.0,0.0,100509.08,118679.32
CFL,2026-04-01,0.0,-0.0466161962774538,False,0.0,SHORT,HOLD,-0.0,0.0,100509.08,118679.32
CFL,2026-04-02,0.0,-0.0471648809231221,False,0.0,SHORT,HOLD,-0.0,0.0,100509.08,118679.32
CFL,2026-04-03,-0.02173487370276095,-0.0331087969060626,True,0.0,SHORT,SHORT,2173.3799999999987,2173.3799999999987,102682.45999999999,120852.7
CFL,2026-04-06,0.0,-0.0418800491079675,False,0.0,SHORT,HOLD,-0.0,0.0,102682.45999999999,120852.7
CFL,2026-04-07,0.10008006405124092,-0.0229437500074765,False,19580.0,SHORT,BUY,-9790.0,9790.0,92892.45999999999,130642.7
CFL,2026-04-08,0.09807132459970891,-0.0185344408709292,False,21107.24,SHORT,BUY,-10553.62,10553.62,82338.84,141196.32
CFL,2026-04-09,0.10008285004142503,-0.0194186572690746,False,23652.639999999996,SHORT,BUY,-11826.319999999998,11826.319999999998,70512.51999999999,153022.64
