symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
FNEL,2026-03-04,-0.007462686567164201,-0.0275047840044156,True,0.0,SHORT,SHORT,800.0000000000007,800.0000000000007,100800.0,100800.0
FNEL,2026-03-05,0.015037593984962516,-0.004118685700821,False,3200.0000000000027,SHORT,BUY,-1600.0000000000014,1600.0000000000014,99200.0,102400.0
FNEL,2026-03-06,-0.029629629629629672,-0.0043941246594119,True,0.0,SHORT,SHORT,3200.0000000000027,3200.0000000000027,102400.0,105600.0
FNEL,2026-03-09,-0.12213740458015276,-0.0100594105809922,True,0.0,SHORT,SHORT,12800.000000000011,12800.000000000011,115200.00000000001,118400.00000000001
FNEL,2026-03-10,0.10434782608695659,-0.0012821209854789,False,19200.00000000002,SHORT,BUY,-9600.00000000001,9600.00000000001,105600.0,128000.00000000003
FNEL,2026-03-11,-0.03937007874015752,-0.0039683396722601,True,0.0,SHORT,SHORT,4000.0000000000036,4000.0000000000036,109600.0,132000.00000000003
FNEL,2026-03-12,-0.024590163934426257,1.86182072999333e-05,False,4800.000000000005,BUY,SHORT,-2400.0000000000023,2400.0000000000023,107200.0,134400.00000000003
FNEL,2026-03-13,0.0,0.0054329132983764,False,0.0,BUY,HOLD,0.0,0.0,107200.0,134400.00000000003
FNEL,2026-03-16,-0.01680672268907568,-0.0071774001441346,True,0.0,SHORT,SHORT,1600.0000000000014,1600.0000000000014,108800.0,136000.00000000003
FNEL,2026-03-17,-0.008547008547008517,0.0048999612128635,False,1600.0000000000014,BUY,SHORT,-800.0000000000007,800.0000000000007,108000.0,136800.00000000003
FNEL,2026-03-18,0.034482758620689724,0.003734720272739,True,0.0,BUY,BUY,3200.0000000000027,3200.0000000000027,111200.00000000001,140000.00000000003
FNEL,2026-03-19,0.04166666666666674,-0.00448156388505,False,8000.000000000007,SHORT,BUY,-4000.0000000000036,4000.0000000000036,107200.0,144000.00000000003
FNEL,2026-03-24,0.0,0.0020637860809215,False,0.0,BUY,HOLD,0.0,0.0,107200.0,144000.00000000003
FNEL,2026-03-25,-0.016000000000000014,0.0048584483927788,False,3200.0000000000027,BUY,SHORT,-1600.0000000000014,1600.0000000000014,105600.0,145600.00000000003
FNEL,2026-03-26,-0.04065040650406504,-0.0082553001626618,True,0.0,SHORT,SHORT,4000.0000000000036,4000.0000000000036,109600.0,149600.00000000003
FNEL,2026-03-27,-0.025423728813559365,-0.0027305497525977,True,0.0,SHORT,SHORT,2400.0000000000023,2400.0000000000023,112000.00000000001,152000.00000000003
FNEL,2026-03-30,-0.03478260869565197,-0.0045075378536081,True,0.0,SHORT,SHORT,3199.999999999985,3199.999999999985,115200.0,155200.0
FNEL,2026-03-31,0.03603603603603589,-0.0013904610019823,False,6399.99999999997,SHORT,BUY,-3199.999999999985,3199.999999999985,112000.00000000001,158400.0
FNEL,2026-04-01,0.034782608695652195,-0.0018983148312431,False,6400.0000000000055,SHORT,BUY,-3200.0000000000027,3200.0000000000027,108800.0,161600.0
FNEL,2026-04-02,-0.050420168067226934,-0.0069818395607445,True,0.0,SHORT,SHORT,4800.000000000005,4800.000000000005,113600.00000000001,166400.0
FNEL,2026-04-03,0.008849557522123908,-0.0037325700118463,False,1600.0000000000014,SHORT,BUY,-800.0000000000007,800.0000000000007,112800.00000000001,167200.0
FNEL,2026-04-06,0.01754385964912286,-0.0004669670882431,False,3200.0000000000027,SHORT,BUY,-1600.0000000000014,1600.0000000000014,111200.00000000001,168800.0
FNEL,2026-04-07,0.0,-0.0031788152813217,False,0.0,SHORT,HOLD,-0.0,0.0,111200.00000000001,168800.0
FNEL,2026-04-08,0.36206896551724155,-0.0058183511793967,False,67200.00000000003,SHORT,BUY,-33600.000000000015,33600.000000000015,77600.0,202400.0
FNEL,2026-04-09,-0.069620253164557,-0.0038197118979364,True,0.0,SHORT,SHORT,8800.000000000007,8800.000000000007,86400.0,211200.00000000003
