symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
NETSOL,2026-03-04,0.010851063829787178,-0.0028089430186583,False,1988.9999999999923,SHORT,BUY,-994.4999999999961,994.4999999999961,99005.5,100994.5
NETSOL,2026-03-05,0.042306882761524056,-0.0022536926903191,False,7839.00000000002,SHORT,BUY,-3919.50000000001,3919.50000000001,95086.0,104914.0
NETSOL,2026-03-06,-0.016558966074313397,-0.0075612982189536,True,0.0,SHORT,SHORT,1599.0000000000005,1599.0000000000005,96685.0,106513.0
NETSOL,2026-03-09,-0.08213552361396304,-0.0352060454778941,True,0.0,SHORT,SHORT,7800.0,7800.0,104485.0,114313.0
NETSOL,2026-03-10,0.09999999999999987,-0.0351958604348663,False,17432.999999999996,SHORT,BUY,-8716.499999999998,8716.499999999998,95768.5,123029.5
NETSOL,2026-03-11,0.03782794386821231,-0.0054564068330279,False,7253.999999999998,SHORT,BUY,-3626.999999999999,3626.999999999999,92141.5,126656.5
NETSOL,2026-03-12,0.044679600235155714,-0.0003229945855086,False,8892.000000000004,SHORT,BUY,-4446.000000000002,4446.000000000002,87695.5,131102.5
NETSOL,2026-03-13,-0.024385668730069532,-0.002752087128824,True,0.0,SHORT,SHORT,2535.000000000008,2535.000000000008,90230.5,133637.5
NETSOL,2026-03-16,-0.011343972313016648,-0.0023100340964878,True,0.0,SHORT,SHORT,1150.4999999999927,1150.4999999999927,91381.0,134788.0
NETSOL,2026-03-17,-0.0033061065733177575,-0.0077305435609195,True,0.0,SHORT,SHORT,331.5000000000033,331.5000000000033,91712.5,135119.5
NETSOL,2026-03-18,0.015512195121951233,-0.035480904779016,False,3100.500000000007,SHORT,BUY,-1550.2500000000034,1550.2500000000034,90162.25,136669.75
NETSOL,2026-03-19,-0.014987030454414518,-0.0355620502556351,True,0.0,SHORT,SHORT,1521.0000000000023,1521.0000000000023,91683.25,138190.75
NETSOL,2026-03-24,-0.0024383107383204594,-0.0032419816691025,True,0.0,SHORT,SHORT,243.75,243.75,91927.0,138434.5
NETSOL,2026-03-25,0.03089558075870147,-0.0027730360446916,False,6161.999999999994,SHORT,BUY,-3080.999999999997,3080.999999999997,88846.0,141515.5
NETSOL,2026-03-26,-0.03755690440060688,-0.008126103518696,True,0.0,SHORT,SHORT,3860.999999999994,3860.999999999994,92707.0,145376.5
NETSOL,2026-03-27,-0.023058730784391024,-0.0357664965211015,True,0.0,SHORT,SHORT,2281.500000000003,2281.500000000003,94988.5,147658.0
NETSOL,2026-03-30,-0.03278192455113982,-0.0356946463736178,True,0.0,SHORT,SHORT,3168.75,3168.75,98157.25,150826.75
NETSOL,2026-03-31,0.022421524663677195,-0.0058305402282274,False,4192.500000000011,SHORT,BUY,-2096.2500000000055,2096.2500000000055,96061.0,152923.0
NETSOL,2026-04-01,0.04273765809873509,-0.0005059200705207,False,8170.499999999995,SHORT,BUY,-4085.2499999999977,4085.2499999999977,91975.75,157008.25
NETSOL,2026-04-02,-0.00997750171182632,-0.0026760212221593,True,0.0,SHORT,SHORT,994.50000000001,994.50000000001,92970.25,158002.75
NETSOL,2026-04-03,-0.0007904357276948826,-0.0019084674997268,True,0.0,SHORT,SHORT,77.99999999999834,77.99999999999834,93048.25,158080.75
NETSOL,2026-04-06,0.010580441016513564,-0.0069408300118138,False,2086.5000000000146,SHORT,BUY,-1043.2500000000073,1043.2500000000073,92005.0,159124.00000000003
NETSOL,2026-04-07,0.003326810176125239,-0.0342468554511881,False,663.0000000000066,SHORT,BUY,-331.5000000000033,331.5000000000033,91673.5,159455.50000000003
NETSOL,2026-04-08,0.0979130095572458,-0.0338364500169273,False,19577.999999999985,SHORT,BUY,-9788.999999999993,9788.999999999993,81884.5,169244.5
NETSOL,2026-04-09,0.010481435423698837,-0.003639868263024,False,2301.000000000013,SHORT,BUY,-1150.5000000000066,1150.5000000000066,80734.0,170395.0
