symbol,DATE,actual_daily_return,predicted_return,same_side_as_actual,daily_pnl_diff_actual_minus_model,suggestion_pred,suggestion_actual,daily_pnl_predicted,daily_pnl_actual,equity_predicted,equity_actual
PIAHCLA,2026-03-04,0.0022948938611588865,-0.0437380853438603,False,391.35999999999166,SHORT,BUY,-195.67999999999583,195.67999999999583,99804.32,100195.68
PIAHCLA,2026-03-05,0.10017172295363475,-0.0414842353183496,False,17122.0,SHORT,BUY,-8561.0,8561.0,91243.32,108756.68
PIAHCLA,2026-03-06,0.08792924037460992,-0.0429960966244501,False,16534.960000000014,SHORT,BUY,-8267.480000000007,8267.480000000007,82975.84,117024.16
PIAHCLA,2026-03-09,-0.0980392156862745,-0.051741139433178,True,0.0,SHORT,SHORT,10028.600000000004,10028.600000000004,93004.44,127052.76000000001
PIAHCLA,2026-03-10,0.07635206786850479,-0.0505719384485206,False,14088.960000000012,SHORT,BUY,-7044.480000000006,7044.480000000006,85959.95999999999,134097.24000000002
PIAHCLA,2026-03-11,-0.010837438423645485,-0.0388195450079458,True,0.0,SHORT,SHORT,1076.2400000000118,1076.2400000000118,87036.20000000001,135173.48000000004
PIAHCLA,2026-03-12,0.05926294820717137,-0.0357818691399235,False,11642.960000000012,SHORT,BUY,-5821.480000000006,5821.480000000006,81214.72,140994.96000000002
PIAHCLA,2026-03-13,-0.029149036201222445,-0.0358776211398403,True,0.0,SHORT,SHORT,3033.040000000005,3033.040000000005,84247.76000000001,144028.00000000003
PIAHCLA,2026-03-16,-0.02663438256658579,-0.033838855797496,True,0.0,SHORT,SHORT,2690.5999999999863,2690.5999999999863,86938.35999999999,146718.60000000003
PIAHCLA,2026-03-17,0.013930348258706315,-0.0357158471416678,False,2739.5199999999763,SHORT,BUY,-1369.7599999999882,1369.7599999999882,85568.6,148088.36000000002
PIAHCLA,2026-03-18,0.014229636898920539,-0.0449664615746769,False,2837.3600000000265,SHORT,BUY,-1418.6800000000133,1418.6800000000133,84149.91999999998,149507.04000000004
PIAHCLA,2026-03-19,-0.011127237542331914,-0.0444303595087779,True,0.0,SHORT,SHORT,1125.1600000000021,1125.1600000000021,85275.07999999999,150632.2
PIAHCLA,2026-03-24,0.015166340508806275,-0.0322302291991256,False,3033.0399999999877,SHORT,BUY,-1516.5199999999938,1516.5199999999938,83758.56,152148.72000000003
PIAHCLA,2026-03-25,0.050602409638554224,-0.0311541555006893,False,10273.200000000006,SHORT,BUY,-5136.600000000003,5136.600000000003,78621.95999999999,157285.32000000004
PIAHCLA,2026-03-26,-0.03256880733944956,-0.0340228232695626,True,0.0,SHORT,SHORT,3473.3200000000043,3473.3200000000043,82095.28,160758.64000000004
PIAHCLA,2026-03-27,-0.027975343764817473,-0.0442714555145389,True,0.0,SHORT,SHORT,2886.2799999999993,2886.2799999999993,84981.56,163644.92000000004
PIAHCLA,2026-03-30,-0.08731707317073167,-0.0447174845168301,True,0.0,SHORT,SHORT,8756.679999999997,8756.679999999997,93738.23999999999,172401.60000000003
PIAHCLA,2026-03-31,0.0,-0.0346548882363293,False,0.0,SHORT,HOLD,-0.0,0.0,93738.23999999999,172401.60000000003
PIAHCLA,2026-04-01,0.03260288615713525,-0.0333435744052868,False,5968.239999999994,SHORT,BUY,-2984.119999999997,2984.119999999997,90754.12,175385.72000000003
PIAHCLA,2026-04-02,-0.026397515527950444,-0.0351643335057784,True,0.0,SHORT,SHORT,2494.920000000008,2494.920000000008,93249.04000000001,177880.64000000004
PIAHCLA,2026-04-03,-0.023391812865496964,-0.0348123754055879,True,0.0,SHORT,SHORT,2152.4799999999886,2152.4799999999886,95401.51999999999,180033.12000000002
PIAHCLA,2026-04-06,0.015786608600979912,-0.0383031499806344,False,2837.3599999999915,SHORT,BUY,-1418.6799999999957,1418.6799999999957,93982.84,181451.80000000002
PIAHCLA,2026-04-07,0.005894962486602262,-0.049062593657562,False,1076.2399999999943,SHORT,BUY,-538.1199999999972,538.1199999999972,93444.72,181989.92
PIAHCLA,2026-04-08,0.10015982951518376,-0.0499021083820627,False,18393.91999999999,SHORT,BUY,-9196.959999999995,9196.959999999995,84247.76000000001,191186.88
PIAHCLA,2026-04-09,-0.019854721549636856,-0.0401129761244676,True,0.0,SHORT,SHORT,2005.7200000000007,2005.7200000000007,86253.48000000001,193192.6
