symbol,DATE,actual_daily_return,predicted_return,same_side_as_actual,daily_pnl_diff_actual_minus_model,suggestion_pred,suggestion_actual,daily_pnl_predicted,daily_pnl_actual,equity_predicted,equity_actual
POWERPS,2026-03-05,0.0,-0.0255422481873377,False,0.0,SHORT,HOLD,-0.0,0.0,100000.0,100000.0
POWERPS,2026-03-09,0.0,0.0280216205684343,False,0.0,BUY,HOLD,0.0,0.0,100000.0,100000.0
POWERPS,2026-03-10,0.08037178786221988,0.0266510149657949,True,0.0,BUY,BUY,7664.580000000013,7664.580000000013,107664.58000000002,107664.58000000002
POWERPS,2026-03-11,-0.08198380566801622,-0.0399677036688835,True,0.0,SHORT,SHORT,8446.680000000006,8446.680000000006,116111.26000000002,116111.26000000002
POWERPS,2026-03-12,-0.061742006615215006,-0.0379223119339723,True,0.0,SHORT,SHORT,5839.680000000005,5839.680000000005,121950.94000000003,121950.94000000003
POWERPS,2026-03-13,-0.05522914218566399,-0.0495403106786896,True,0.0,SHORT,SHORT,4901.160000000006,4901.160000000006,126852.10000000003,126852.10000000003
POWERPS,2026-03-16,0.08582089552238825,-0.0340364456418931,False,14390.640000000027,SHORT,BUY,-7195.320000000013,7195.320000000013,119656.78000000001,134047.42000000004
POWERPS,2026-03-17,0.0,-0.0371852846421638,False,0.0,SHORT,HOLD,-0.0,0.0,119656.78000000001,134047.42000000004
POWERPS,2026-03-18,0.002290950744558984,0.0214467894382267,True,0.0,BUY,BUY,208.55999999999557,208.55999999999557,119865.34000000001,134255.98000000004
POWERPS,2026-03-19,0.09600000000000009,0.0212825700773878,True,0.0,BUY,BUY,8759.519999999999,8759.519999999999,128624.86000000002,143015.50000000003
POWERPS,2026-03-24,0.00990615224191882,-0.0505970301532182,False,1981.3200000000134,SHORT,BUY,-990.6600000000067,990.6600000000067,127634.2,144006.16000000003
POWERPS,2026-03-25,-0.08828084667010849,-0.0335248788262099,True,0.0,SHORT,SHORT,8915.940000000004,8915.940000000004,136550.14,152922.10000000003
POWERPS,2026-03-26,0.10022650056625149,-0.0350946720991901,False,18457.559999999994,SHORT,BUY,-9228.779999999997,9228.779999999997,127321.36000000002,162150.88000000003
POWERPS,2026-03-27,0.09984559958826567,0.0250931338311193,True,0.0,BUY,BUY,10115.160000000007,10115.160000000007,137436.52000000002,172266.04000000004
POWERPS,2026-03-30,-0.09592887225081892,0.0264276337869644,False,21377.40000000001,BUY,SHORT,-10688.700000000004,10688.700000000004,126747.82,182954.74000000005
POWERPS,2026-03-31,-0.09161490683229812,-0.0374413589546197,True,0.0,SHORT,SHORT,9228.779999999997,9228.779999999997,135976.6,192183.52000000005
POWERPS,2026-04-01,0.10028490028490022,-0.0326593698980338,False,18353.27999999998,SHORT,BUY,-9176.63999999999,9176.63999999999,126799.96000000002,201360.16000000003
POWERPS,2026-04-02,0.09994821336095283,-0.0416116977829774,False,20126.039999999997,SHORT,BUY,-10063.019999999999,10063.019999999999,116736.94000000003,211423.18000000005
POWERPS,2026-04-03,0.0,-0.0235694969313274,False,0.0,SHORT,HOLD,-0.0,0.0,116736.94000000003,211423.18000000005
POWERPS,2026-04-06,-0.03625235404896421,-0.0243609467696352,True,0.0,SHORT,SHORT,4014.779999999998,4014.779999999998,120751.72000000003,215437.96000000002
POWERPS,2026-04-07,0.0,0.0363980953853779,False,0.0,BUY,HOLD,0.0,0.0,120751.72000000003,215437.96000000002
POWERPS,2026-04-08,-0.10014655593551525,0.0380863232920833,False,21377.39999999997,BUY,SHORT,-10688.699999999984,10688.699999999984,110063.02000000003,226126.66000000003
POWERPS,2026-04-09,0.09989142236699244,-0.0256515948945195,False,19187.519999999997,SHORT,BUY,-9593.759999999998,9593.759999999998,100469.26000000004,235720.42
