symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
SEL,2026-03-04,-0.014438943894389378,-0.0210297835878059,True,0.0,SHORT,SHORT,1402.0999999999915,1402.0999999999915,101402.09999999999,101402.09999999999
SEL,2026-03-05,0.10004185851820857,-0.0212219258441372,False,19148.680000000004,SHORT,BUY,-9574.340000000002,9574.340000000002,91827.76,110976.43999999999
SEL,2026-03-06,-0.011415525114155223,-0.0223016212594234,True,0.0,SHORT,SHORT,1201.800000000003,1201.800000000003,93029.56,112178.23999999999
SEL,2026-03-09,0.0,-0.0203258367512536,False,0.0,SHORT,HOLD,-0.0,0.0,93029.56,112178.23999999999
SEL,2026-03-10,0.026558891454965483,-0.0209795643868798,False,5528.280000000011,SHORT,BUY,-2764.1400000000053,2764.1400000000053,90265.41999999998,114942.38
SEL,2026-03-11,-0.017622797150356306,-0.0256058040809782,True,0.0,SHORT,SHORT,1882.8200000000097,1882.8200000000097,92148.23999999999,116825.20000000001
SEL,2026-03-12,0.011068702290076393,-0.0212470800916655,False,2323.479999999993,SHORT,BUY,-1161.7399999999966,1161.7399999999966,90986.5,117986.94
SEL,2026-03-13,-0.05209513023782553,-0.025352013638896,True,0.0,SHORT,SHORT,5528.279999999996,5528.279999999996,96514.78,123515.22
SEL,2026-03-16,0.0,-0.0251559294266237,False,0.0,SHORT,HOLD,-0.0,0.0,96514.78,123515.22
SEL,2026-03-17,-0.014735165272799722,-0.0257272572123951,True,0.0,SHORT,SHORT,1482.220000000004,1482.220000000004,97997.0,124997.44
SEL,2026-03-18,0.006871463217461571,-0.0231282246721176,False,1362.0400000000136,SHORT,BUY,-681.0200000000068,681.0200000000068,97315.98,125678.46000000002
SEL,2026-03-19,0.0020072260136492215,-0.0230517850350786,False,400.6000000000057,SHORT,BUY,-200.30000000000285,200.30000000000285,97115.68,125878.76000000002
SEL,2026-03-24,-0.05649038461538458,-0.0247091623868829,True,0.0,SHORT,SHORT,5648.460000000001,5648.460000000001,102764.13999999998,131527.22000000003
SEL,2026-03-25,0.05222929936305731,-0.0234830383673881,False,9854.760000000004,SHORT,BUY,-4927.380000000002,4927.380000000002,97836.76,136454.60000000003
SEL,2026-03-26,-0.018563357546408477,-0.0229911411262943,True,0.0,SHORT,SHORT,1842.7600000000034,1842.7600000000034,99679.51999999999,138297.36000000004
SEL,2026-03-27,-0.02631578947368418,-0.0193151991039542,True,0.0,SHORT,SHORT,2563.8400000000024,2563.8400000000024,102243.36,140861.20000000004
SEL,2026-03-30,-0.03758445945945943,-0.0181683877703466,True,0.0,SHORT,SHORT,3565.3400000000024,3565.3400000000024,105808.7,144426.54000000004
SEL,2026-03-31,0.05572619569986825,-0.0209247592565276,False,10175.239999999996,SHORT,BUY,-5087.619999999998,5087.619999999998,100721.08,149514.16000000003
SEL,2026-04-01,0.07980049875311734,-0.0146601370240689,False,15383.040000000014,SHORT,BUY,-7691.520000000007,7691.520000000007,93029.56,157205.68000000005
SEL,2026-04-02,-0.01501154734411092,-0.0168580113610327,True,0.0,SHORT,SHORT,1562.3400000000022,1562.3400000000022,94591.9,158768.02000000005
SEL,2026-04-03,-0.02305588120359514,-0.0147894282072061,True,0.0,SHORT,SHORT,2363.5399999999995,2363.5399999999995,96955.43999999999,161131.56000000006
SEL,2026-04-06,-0.020400000000000085,-0.0135586480977552,True,0.0,SHORT,SHORT,2043.0600000000063,2043.0600000000063,98998.5,163174.62000000005
SEL,2026-04-07,0.03062474479379329,-0.0092630876903438,False,6009.0,SHORT,BUY,-3004.5,3004.5,95994.0,166179.12000000005
SEL,2026-04-08,0.0855784469096672,-0.0076295037741667,False,17305.920000000002,SHORT,BUY,-8652.960000000001,8652.960000000001,87341.04,174832.08000000007
SEL,2026-04-09,0.021532846715328402,-0.0100431247300619,False,4727.079999999999,SHORT,BUY,-2363.5399999999995,2363.5399999999995,84977.5,177195.62000000005
