symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
SHCM,2026-03-04,0.0,-0.06564155,False,0.0,SHORT,HOLD,-0.0,0.0,100000.0,100000.0
SHCM,2026-03-05,-0.01165840862722256,-0.0072530233,True,0.0,SHORT,SHORT,1121.6000000000158,1121.6000000000158,101121.60000000002,101121.60000000002
SHCM,2026-03-06,0.0,0.0030451568,False,0.0,BUY,HOLD,0.0,0.0,101121.60000000002,101121.60000000002
SHCM,2026-03-09,0.025951046888823326,0.0061006313,True,0.0,BUY,BUY,2467.5200000000073,2467.5200000000073,103589.12000000002,103589.12000000002
SHCM,2026-03-10,0.0,0.03415044,False,0.0,BUY,HOLD,0.0,0.0,103589.12000000002,103589.12000000002
SHCM,2026-03-11,0.025007185972980572,0.011613196,True,0.0,BUY,BUY,2439.4799999999927,2439.4799999999927,106028.60000000002,106028.60000000002
SHCM,2026-03-12,0.0,-0.032192715,False,0.0,SHORT,HOLD,-0.0,0.0,106028.60000000002,106028.60000000002
SHCM,2026-03-13,0.0,0.01298119,False,0.0,BUY,HOLD,0.0,0.0,106028.60000000002,106028.60000000002
SHCM,2026-03-16,0.0,0.0055919904,False,0.0,BUY,HOLD,0.0,0.0,106028.60000000002,106028.60000000002
SHCM,2026-03-17,0.0,-0.050602797,False,0.0,SHORT,HOLD,-0.0,0.0,106028.60000000002,106028.60000000002
SHCM,2026-03-18,0.0,0.00014015098,False,0.0,BUY,HOLD,0.0,0.0,106028.60000000002,106028.60000000002
SHCM,2026-03-19,0.0,-0.00495693,False,0.0,SHORT,HOLD,-0.0,0.0,106028.60000000002,106028.60000000002
SHCM,2026-03-24,0.0,0.004235481,False,0.0,BUY,HOLD,0.0,0.0,106028.60000000002,106028.60000000002
SHCM,2026-03-25,0.08468872686483464,-0.008012929,False,16936.160000000018,SHORT,BUY,-8468.080000000009,8468.080000000009,97560.52,114496.68000000002
SHCM,2026-03-26,-0.09203722854188212,-0.01598933,True,0.0,SHORT,SHORT,9982.240000000007,9982.240000000007,107542.76000000001,124478.92000000004
SHCM,2026-03-27,0.0,-0.012269116,False,0.0,SHORT,HOLD,-0.0,0.0,107542.76000000001,124478.92000000004
SHCM,2026-03-30,0.0,0.007484348,False,0.0,BUY,HOLD,0.0,0.0,107542.76000000001,124478.92000000004
SHCM,2026-03-31,0.0,0.025454095,False,0.0,BUY,HOLD,0.0,0.0,107542.76000000001,124478.92000000004
SHCM,2026-04-01,0.0,0.019013343,False,0.0,BUY,HOLD,0.0,0.0,107542.76000000001,124478.92000000004
SHCM,2026-04-02,-0.07061503416856485,0.031316463,False,13907.839999999982,BUY,SHORT,-6953.919999999991,6953.919999999991,100588.84000000003,131432.84000000003
SHCM,2026-04-03,0.09957107843137258,0.039425153,True,0.0,BUY,BUY,9113.0,9113.0,109701.84000000003,140545.84000000003
SHCM,2026-04-06,0.06101978266926711,0.02538971,True,0.0,BUY,BUY,6140.759999999994,6140.759999999994,115842.60000000002,146686.60000000003
SHCM,2026-04-07,-0.07930672268907557,0.026843764,False,16936.159999999978,BUY,SHORT,-8468.079999999989,8468.079999999989,107374.52000000003,155154.68
SHCM,2026-04-08,0.0,0.041721437,False,0.0,BUY,HOLD,0.0,0.0,107374.52000000003,155154.68
SHCM,2026-04-09,0.0,0.022600356,False,0.0,BUY,HOLD,0.0,0.0,107374.52000000003,155154.68
