symbol,DATE,actual_daily_return,predicted_return,same_side_as_actual,daily_pnl_diff_actual_minus_model,suggestion_pred,suggestion_actual,daily_pnl_predicted,daily_pnl_actual,equity_predicted,equity_actual
TGL,2026-03-04,-0.01474342609139645,-0.0089285591831263,True,0.0,SHORT,SHORT,1651.6500000000017,1651.6500000000017,101651.65000000001,101651.65000000001
TGL,2026-03-05,-0.032584051305305395,-0.0042282565565704,True,0.0,SHORT,SHORT,3596.4500000000007,3596.4500000000007,105248.1,105248.1
TGL,2026-03-06,-0.022833802062407926,-0.0048445320689647,True,0.0,SHORT,SHORT,2438.1499999999974,2438.1499999999974,107686.25,107686.25
TGL,2026-03-09,-0.09997944219831423,-0.009732066235112,True,0.0,SHORT,SHORT,10431.850000000002,10431.850000000002,118118.1,118118.1
TGL,2026-03-10,0.036394091670473694,-0.0102692558861482,False,6835.4000000000015,SHORT,BUY,-3417.7000000000007,3417.7000000000007,114700.4,121535.8
TGL,2026-03-11,-0.001395827211284173,-0.008467520584172,True,0.0,SHORT,SHORT,135.84999999999837,135.84999999999837,114836.25,121671.65
TGL,2026-03-12,-0.008460236886632888,-0.0096636497363847,True,0.0,SHORT,SHORT,822.2500000000041,822.2500000000041,115658.5,122493.90000000001
TGL,2026-03-13,0.023371420092001882,-0.0126063533415078,False,4504.500000000008,SHORT,BUY,-2252.250000000004,2252.250000000004,113406.25,124746.15000000001
TGL,2026-03-16,-0.020952657144928666,-0.0082634252990088,True,0.0,SHORT,SHORT,2066.3500000000104,2066.3500000000104,115472.6,126812.50000000001
TGL,2026-03-17,0.007701421800948127,-0.0091882852093984,False,1487.2000000000294,SHORT,BUY,-743.6000000000147,743.6000000000147,114729.0,127556.10000000003
TGL,2026-03-18,0.03924162257495567,-0.0143280573938961,False,7636.199999999964,SHORT,BUY,-3818.099999999982,3818.099999999982,110910.90000000001,131374.2
TGL,2026-03-19,-0.011313816999010018,-0.0150545032076373,True,0.0,SHORT,SHORT,1143.999999999996,1143.999999999996,112054.90000000001,132518.2
TGL,2026-03-24,-0.012015448433700504,-0.0175328128148017,True,0.0,SHORT,SHORT,1201.2000000000048,1201.2000000000048,113256.1,133719.40000000002
TGL,2026-03-25,0.01151006225568274,-0.0130854911499955,False,2273.700000000005,SHORT,BUY,-1136.8500000000024,1136.8500000000024,112119.25000000001,134856.25000000003
TGL,2026-03-26,-0.017820081585915526,-0.0138294301360631,True,0.0,SHORT,SHORT,1780.3499999999863,1780.3499999999863,113899.59999999999,136636.6
TGL,2026-03-27,-0.024191197901486605,-0.0187137047103602,True,0.0,SHORT,SHORT,2373.8000000000156,2373.8000000000156,116273.40000000001,139010.40000000002
TGL,2026-03-30,-0.02120669056152913,-0.0191136521689774,True,0.0,SHORT,SHORT,2030.5999999999822,2030.5999999999822,118304.0,141041.0
TGL,2026-03-31,0.03227036924015869,-0.0170403218674504,False,6048.899999999985,SHORT,BUY,-3024.4499999999925,3024.4499999999925,115279.55,144065.45
TGL,2026-04-01,0.021432266646958853,-0.0178329016938512,False,4147.000000000008,SHORT,BUY,-2073.500000000004,2073.500000000004,113206.04999999999,146138.95
TGL,2026-04-02,0.014687793936762894,-0.020245280964396,False,2902.9000000000015,SHORT,BUY,-1451.4500000000007,1451.4500000000007,111754.59999999999,147590.40000000002
TGL,2026-04-03,-0.014118653736451936,-0.0152531571586255,True,0.0,SHORT,SHORT,1415.700000000013,1415.700000000013,113170.3,149006.10000000003
TGL,2026-04-06,0.0067264573991032695,-0.0154204527408998,False,1329.9000000000096,SHORT,BUY,-664.9500000000048,664.9500000000048,112505.35,149671.05000000002
TGL,2026-04-07,-0.0022271714922049712,-0.0197072029543415,True,0.0,SHORT,SHORT,221.65000000000163,221.65000000000163,112727.0,149892.7
TGL,2026-04-08,0.10001440092165903,-0.0195002346192107,False,19862.700000000023,SHORT,BUY,-9931.350000000011,9931.350000000011,102795.65,159824.05000000005
TGL,2026-04-09,-0.0030765202592132335,-0.0168223552234921,True,0.0,SHORT,SHORT,336.04999999999916,336.04999999999916,103131.7,160160.10000000003
