symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
TPLT,2026-03-04,0.06575963718820854,-0.0028927858394615,False,12705.480000000001,SHORT,BUY,-6352.740000000001,6352.740000000001,93647.26,106352.74
TPLT,2026-03-05,0.017021276595744705,0.0008406436505551,True,0.0,BUY,BUY,1752.4800000000016,1752.4800000000016,95399.74,108105.22
TPLT,2026-03-06,-0.0020920502092051096,0.0084894541211602,False,438.12000000002956,BUY,SHORT,-219.06000000001478,219.06000000001478,95180.68,108324.28000000001
TPLT,2026-03-09,-0.10272536687631018,-0.00427025998761,True,0.0,SHORT,SHORT,10733.939999999986,10733.939999999986,105914.61999999997,119058.22
TPLT,2026-03-10,0.11448598130841114,-0.0062877128035536,False,21467.879999999972,SHORT,BUY,-10733.939999999986,10733.939999999986,95180.68,129792.15999999999
TPLT,2026-03-11,-0.008385744234800652,-0.0061795687767627,True,0.0,SHORT,SHORT,876.2399999999814,876.2399999999814,96056.91999999997,130668.39999999997
TPLT,2026-03-12,-0.016913319238900604,-0.0029946664301548,True,0.0,SHORT,SHORT,1752.4800000000016,1752.4800000000016,97809.39999999997,132420.87999999998
TPLT,2026-03-13,0.01612903225806428,-0.006454672310412,False,3285.8999999999687,SHORT,BUY,-1642.9499999999844,1642.9499999999844,96166.44999999998,134063.82999999996
TPLT,2026-03-16,-0.05291005291005291,-0.0056548637321302,True,0.0,SHORT,SHORT,5476.5,5476.5,101642.94999999998,139540.32999999996
TPLT,2026-03-17,0.011173184357541999,-0.0068739474967206,False,2190.6000000000313,SHORT,BUY,-1095.3000000000156,1095.3000000000156,100547.64999999997,140635.62999999998
TPLT,2026-03-18,0.0022099447513812542,-0.0028466067411372,False,438.1199999999907,SHORT,BUY,-219.05999999999534,219.05999999999534,100328.58999999997,140854.68999999997
TPLT,2026-03-19,0.006615214994487362,-0.0019109920968127,False,1314.3600000000108,SHORT,BUY,-657.1800000000054,657.1800000000054,99671.40999999997,141511.87
TPLT,2026-03-24,-0.02190580503833528,-0.0050745356576964,True,0.0,SHORT,SHORT,2190.6000000000117,2190.6000000000117,101862.00999999998,143702.47
TPLT,2026-03-25,0.006718924972004547,-0.0057834354554738,False,1314.3600000000108,SHORT,BUY,-657.1800000000054,657.1800000000054,101204.82999999997,144359.65
TPLT,2026-03-26,-0.04338153503893216,-0.0041054542643038,True,0.0,SHORT,SHORT,4271.670000000006,4271.670000000006,105476.49999999999,148631.32
TPLT,2026-03-27,-0.037209302325581395,-0.0040826048963971,True,0.0,SHORT,SHORT,3504.960000000003,3504.960000000003,108981.45999999999,152136.28000000003
TPLT,2026-03-30,-0.06400966183574874,-0.0050770620059938,True,0.0,SHORT,SHORT,5805.089999999993,5805.089999999993,114786.54999999997,157941.37
TPLT,2026-03-31,0.047741935483870845,-0.0049414600255886,False,8105.219999999983,SHORT,BUY,-4052.6099999999915,4052.6099999999915,110733.93999999999,161993.98
TPLT,2026-04-01,0.034482758620689724,-0.0049414421733493,False,6133.680000000025,SHORT,BUY,-3066.8400000000124,3066.8400000000124,107667.09999999998,165060.82
TPLT,2026-04-02,-0.020238095238095277,-0.0049414421733493,True,0.0,SHORT,SHORT,1862.0099999999993,1862.0099999999993,109529.10999999997,166922.83000000002
TPLT,2026-04-03,-0.008505467800729027,-0.0049414421733493,True,0.0,SHORT,SHORT,766.7100000000031,766.7100000000031,110295.81999999998,167689.54000000004
TPLT,2026-04-06,-0.018382352941176516,-0.0050423307040634,True,0.0,SHORT,SHORT,1642.950000000004,1642.950000000004,111938.76999999997,169332.49000000002
TPLT,2026-04-07,0.017478152309613026,-0.0050423307040634,False,3066.8400000000124,SHORT,BUY,-1533.4200000000062,1533.4200000000062,110405.34999999998,170865.91000000003
TPLT,2026-04-08,0.12269938650306744,-0.0050423307040634,False,21906.0,SHORT,BUY,-10953.0,10953.0,99452.34999999998,181818.91000000003
TPLT,2026-04-09,0.08087431693989067,-0.0049414421733493,False,16210.440000000004,SHORT,BUY,-8105.220000000002,8105.220000000002,91347.12999999998,189924.13000000003
