symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
BNL,2026-03-04,0.004629629629629539,-0.010144201,False,982.799999999979,SHORT,BUY,-491.3999999999895,491.3999999999895,99508.6,100491.4
BNL,2026-03-05,0.040322580645161255,-0.03039376,False,8599.49999999999,SHORT,BUY,-4299.749999999995,4299.749999999995,95208.85000000002,104791.14999999998
BNL,2026-03-06,-0.03986710963455142,-0.022113893,True,0.0,SHORT,SHORT,4422.599999999993,4422.599999999993,99631.45000000001,109213.74999999997
BNL,2026-03-09,-0.11534025374855827,-0.03553712,True,0.0,SHORT,SHORT,12285.0,12285.0,111916.45000000001,121498.74999999997
BNL,2026-03-10,0.08083441981747064,-0.0411223,False,15233.399999999981,SHORT,BUY,-7616.699999999991,7616.699999999991,104299.75000000001,129115.44999999997
BNL,2026-03-11,0.01568154402895061,-0.012461495,False,3194.100000000019,SHORT,BUY,-1597.0500000000095,1597.0500000000095,102702.70000000001,130712.49999999997
BNL,2026-03-12,-0.030878859857482177,-0.015757399,True,0.0,SHORT,SHORT,3194.099999999997,3194.099999999997,105896.8,133906.59999999998
BNL,2026-03-13,0.018382352941176405,-0.003578261,False,3685.5000000000086,SHORT,BUY,-1842.7500000000043,1842.7500000000043,104054.05,135749.34999999998
BNL,2026-03-16,-0.03369434416365835,-0.023150554,True,0.0,SHORT,SHORT,3439.800000000014,3439.800000000014,107493.85000000002,139189.15
BNL,2026-03-17,0.01992528019925288,-0.016174804,False,3931.2000000000035,SHORT,BUY,-1965.6000000000017,1965.6000000000017,105528.25000000001,141154.75
BNL,2026-03-18,0.01098901098901095,-0.022995787,False,2211.2999999999965,SHORT,BUY,-1105.6499999999983,1105.6499999999983,104422.60000000002,142260.4
BNL,2026-03-19,-0.016908212560386326,-0.0326291,True,0.0,SHORT,SHORT,1719.899999999985,1719.899999999985,106142.5,143980.3
BNL,2026-03-24,0.002457002457002311,-0.023403684,False,491.3999999999895,SHORT,BUY,-245.69999999999476,245.69999999999476,105896.8,144225.99999999997
BNL,2026-03-25,0.02450980392156854,-0.034039948,False,4913.999999999983,SHORT,BUY,-2456.9999999999914,2456.9999999999914,103439.80000000002,146682.99999999997
BNL,2026-03-26,-0.03349282296650713,0.002127453,False,6879.599999999984,BUY,SHORT,-3439.799999999992,3439.799999999992,100000.00000000003,150122.79999999996
BNL,2026-03-27,-0.003712871287128605,-0.03038671,True,0.0,SHORT,SHORT,368.54999999999217,368.54999999999217,100368.55000000002,150491.34999999995
BNL,2026-03-30,-0.06459627329192552,-0.028180184,True,0.0,SHORT,SHORT,6388.200000000005,6388.200000000005,106756.75000000001,156879.54999999996
BNL,2026-03-31,0.007968127490039834,-0.00297516,False,1474.1999999999905,SHORT,BUY,-737.0999999999952,737.0999999999952,106019.65000000002,157616.64999999997
BNL,2026-04-01,0.07773386034255592,-0.029714005,False,14496.299999999996,SHORT,BUY,-7248.149999999998,7248.149999999998,98771.50000000003,164864.79999999996
BNL,2026-04-02,-0.02689486552567233,-0.03412956,True,0.0,SHORT,SHORT,2702.699999999997,2702.699999999997,101474.20000000003,167567.49999999994
BNL,2026-04-03,-0.02010050251256279,-0.04203079,True,0.0,SHORT,SHORT,1965.6000000000017,1965.6000000000017,103439.80000000003,169533.09999999998
BNL,2026-04-06,-0.0012820512820512775,-0.002448322,True,0.0,SHORT,SHORT,122.84999999999738,122.84999999999738,103562.65000000002,169655.94999999995
BNL,2026-04-07,-0.0012836970474967568,-0.05044377,True,0.0,SHORT,SHORT,122.84999999999738,122.84999999999738,103685.50000000001,169778.79999999993
BNL,2026-04-08,0.10796915167095111,-0.03757812,False,20638.799999999974,SHORT,BUY,-10319.399999999987,10319.399999999987,93366.10000000003,180098.19999999992
BNL,2026-04-09,-0.029002320185614883,-0.018152064,True,0.0,SHORT,SHORT,3071.25,3071.25,96437.35000000003,183169.44999999992
