symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
AGTL,2026-03-04,-0.0023899041123837117,-0.0012281615114043,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,100000.0
AGTL,2026-03-05,0.01890210055800634,0.0061533157987995,True,0.0,BUY,BUY,2018.6399999999908,2018.6399999999908,102018.63999999998,102018.63999999998
AGTL,2026-03-06,-0.010695033834155376,0.0065575069561079,False,1163.7600000000057,BUY,HOLD,-1163.7600000000057,-0.0,100854.87999999999,102018.63999999998
AGTL,2026-03-09,-0.07831203083789806,0.002064521197716,False,8430.239999999994,BUY,HOLD,-8430.239999999994,-0.0,92424.63999999998,102018.63999999998
AGTL,2026-03-10,0.03242036413949245,5.152894672737808e-05,True,0.0,BUY,BUY,3216.7200000000007,3216.7200000000007,95641.35999999999,105235.35999999999
AGTL,2026-03-11,-0.009563840155945358,-0.0001351479283376,True,0.0,HOLD,HOLD,-0.0,-0.0,95641.35999999999,105235.35999999999
AGTL,2026-03-12,-0.01316194107878721,0.0007224957701095,False,1335.3600000000092,BUY,HOLD,-1335.3600000000092,-0.0,94305.99999999999,105235.35999999999
AGTL,2026-03-13,-0.004549703957619111,0.0002450008104962,False,455.5199999999936,BUY,HOLD,-455.5199999999936,-0.0,93850.47999999998,105235.35999999999
AGTL,2026-03-16,-0.004664412722264033,0.0002252719282402,False,464.88000000000284,BUY,HOLD,-464.88000000000284,-0.0,93385.59999999999,105235.35999999999
AGTL,2026-03-17,0.011920113225349915,0.0009625139717522,True,0.0,BUY,BUY,1182.4800000000064,1182.4800000000064,94568.07999999999,106417.84
AGTL,2026-03-18,-0.002175669795487001,0.0017319412201397,False,218.39999999999645,BUY,HOLD,-218.39999999999645,-0.0,94349.68,106417.84
AGTL,2026-03-19,-0.0027410914527784547,0.006027738085919,False,274.5599999999986,BUY,HOLD,-274.5599999999986,-0.0,94075.12,106417.84
AGTL,2026-03-24,0.011306846576711438,0.0017329376911158,True,0.0,BUY,BUY,1129.4399999999837,1129.4399999999837,95204.55999999998,107547.27999999998
AGTL,2026-03-25,-0.00830811044536417,0.0011758432870602,False,839.2799999999993,BUY,HOLD,-839.2799999999993,-0.0,94365.27999999998,107547.27999999998
AGTL,2026-03-26,-6.228783207196109e-05,0.0005347058349573,False,6.239999999994325,BUY,HOLD,-6.239999999994325,-0.0,94359.04,107547.27999999998
AGTL,2026-03-27,-0.013455009810944607,0.0001554078264518,False,1347.8399999999979,BUY,HOLD,-1347.8399999999979,-0.0,93011.19999999998,107547.27999999998
AGTL,2026-03-30,-0.019289660615627535,0.0003947285274353,False,1906.3200000000043,BUY,HOLD,-1906.3200000000043,-0.0,91104.87999999999,107547.27999999998
AGTL,2026-03-31,-0.012007468452227554,0.0005138032786305,False,1163.759999999988,BUY,HOLD,-1163.759999999988,-0.0,89941.12,107547.27999999998
AGTL,2026-04-01,0.025838193607246263,0.0003365890801088,True,0.0,BUY,BUY,2474.1599999999844,2474.1599999999844,92415.27999999998,110021.43999999997
AGTL,2026-04-02,-0.015404649980942597,5.622547467907248e-05,False,1513.1999999999894,BUY,HOLD,-1513.1999999999894,-0.0,90902.07999999999,110021.43999999997
AGTL,2026-04-03,0.0011935868898997892,9.964202640026352e-05,True,0.0,BUY,BUY,115.44000000000142,115.44000000000142,91017.51999999999,110136.87999999998
AGTL,2026-04-06,0.031060703698930325,0.0001987422443984,True,0.0,BUY,BUY,3007.6799999999957,3007.6799999999957,94025.2,113144.55999999997
AGTL,2026-04-07,0.002062500000000078,0.0002452271113107,True,0.0,BUY,BUY,205.9200000000078,205.9200000000078,94231.12,113350.47999999997
AGTL,2026-04-08,0.07210129108713259,0.0002572104128821,True,0.0,BUY,BUY,7213.439999999984,7213.439999999984,101444.55999999998,120563.91999999995
AGTL,2026-04-09,0.009686427366339068,0.0001700945690864,True,0.0,BUY,BUY,1038.9600000000128,1038.9600000000128,102483.52,121602.87999999998
