symbol,DATE,actual_daily_return,predicted_return,same_side_as_actual,daily_pnl_diff_actual_minus_model,suggestion_pred,suggestion_actual,daily_pnl_predicted,daily_pnl_actual,equity_predicted,equity_actual
AMBL,2026-03-04,0.09689213893967108,0.0037929270178737,True,0.0,BUY,BUY,8880.680000000004,8880.680000000004,108880.68000000001,108880.68000000001
AMBL,2026-03-05,-0.004166666666666763,0.0042722792940711,False,418.90000000000595,BUY,HOLD,-418.90000000000595,-0.0,108461.78,108880.68000000001
AMBL,2026-03-06,-0.03723849372384924,-0.0073901092297236,True,0.0,HOLD,HOLD,-0.0,-0.0,108461.78,108880.68000000001
AMBL,2026-03-09,0.07127335940895252,-0.0048982769032573,False,6869.959999999987,HOLD,BUY,0.0,6869.959999999987,108461.78,115750.63999999998
AMBL,2026-03-10,-0.09330628803245422,-0.0099479954022695,True,0.0,HOLD,HOLD,-0.0,-0.0,108461.78,115750.63999999998
AMBL,2026-03-11,-0.01118568232662187,-0.0160724891289482,True,0.0,HOLD,HOLD,-0.0,-0.0,108461.78,115750.63999999998
AMBL,2026-03-12,0.03936651583710393,-0.0006778641781925,False,3644.4299999999894,HOLD,BUY,0.0,3644.4299999999894,108461.78,119395.06999999998
AMBL,2026-03-13,0.006965607313887734,-0.0045424026503404,False,670.2400000000006,HOLD,BUY,0.0,670.2400000000006,108461.78,120065.30999999998
AMBL,2026-03-16,-0.02031993082576733,-0.0014984037749694,True,0.0,HOLD,HOLD,-0.0,-0.0,108461.78,120065.30999999998
AMBL,2026-03-17,0.003530450132391838,0.0028337361382853,True,0.0,BUY,BUY,335.11999999999284,335.11999999999284,108796.9,120400.42999999998
AMBL,2026-03-18,0.045294635004397676,0.0086182551235746,True,0.0,BUY,BUY,4314.670000000005,4314.670000000005,113111.56999999999,124715.09999999998
AMBL,2026-03-19,0.0042069835927640575,0.0033440609416123,True,0.0,BUY,BUY,418.90000000000595,418.90000000000595,113530.47,125133.99999999999
AMBL,2026-03-24,-0.038542103058232136,0.0028838851927837,False,3853.880000000007,BUY,HOLD,-3853.880000000007,-0.0,109676.59,125133.99999999999
AMBL,2026-03-25,0.02527233115468408,-0.002610320808397,False,2429.6200000000076,HOLD,BUY,0.0,2429.6200000000076,109676.59,127563.62
AMBL,2026-03-26,0.002974925626859415,-0.0032550228775625,False,293.2300000000012,HOLD,BUY,0.0,293.2300000000012,109676.59,127856.84999999999
AMBL,2026-03-27,-0.06652542372881354,-0.0005570399276015,True,0.0,HOLD,HOLD,-0.0,-0.0,109676.59,127856.84999999999
AMBL,2026-03-30,0.017703132092601104,-0.0001625593062858,False,1633.7100000000023,HOLD,BUY,0.0,1633.7100000000023,109676.59,129490.56
AMBL,2026-03-31,0.0,0.0016677138894291,False,0.0,BUY,HOLD,0.0,0.0,109676.59,129490.56
AMBL,2026-04-01,-0.004460303300624524,-0.0010717487596192,True,0.0,HOLD,HOLD,-0.0,-0.0,109676.59,129490.56
AMBL,2026-04-02,0.05600358422939067,0.001030113159212,True,0.0,BUY,BUY,5236.25,5236.25,114912.84,134726.81
AMBL,2026-04-03,-0.0725498515061519,0.0002478124815706,False,7163.190000000003,BUY,HOLD,-7163.190000000003,-0.0,107749.65,134726.81
AMBL,2026-04-06,0.029277218664226945,-0.000732211951685,False,2680.9600000000023,HOLD,BUY,0.0,2680.9600000000023,107749.65,137407.77
AMBL,2026-04-07,0.10000000000000009,-0.0003614855238461,False,9425.25,HOLD,BUY,0.0,9425.25,107749.65,146833.02
AMBL,2026-04-08,-0.03353535353535342,0.0008152877533624,False,3476.869999999993,BUY,HOLD,-3476.869999999993,-0.0,104272.78,146833.02
AMBL,2026-04-09,-0.028010033444816118,0.0013262558904687,False,2806.630000000007,BUY,HOLD,-2806.630000000007,-0.0,101466.15,146833.02
