symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
ARCTM,2026-03-04,0.0,-0.0102277947193323,True,0.0,HOLD,HOLD,0.0,0.0,100000.0,100000.0
ARCTM,2026-03-05,0.04444444444444451,0.0025954302347649,True,0.0,BUY,BUY,4305.599999999998,4305.599999999998,104305.59999999999,104305.59999999999
ARCTM,2026-03-06,0.08049645390070914,0.0123269567262689,True,0.0,BUY,BUY,8144.759999999998,8144.759999999998,112450.36,112450.36
ARCTM,2026-03-09,-0.10009845749917945,-0.008413300035897,True,0.0,HOLD,HOLD,-0.0,-0.0,112450.36,112450.36
ARCTM,2026-03-10,0.0897155361050328,0.0085849250193244,True,0.0,BUY,BUY,8826.47999999999,8826.47999999999,121276.84,121276.84
ARCTM,2026-03-11,-0.08065595716198126,-0.0042016832746198,True,0.0,HOLD,HOLD,-0.0,-0.0,121276.84,121276.84
ARCTM,2026-03-12,-0.09938114306516199,-0.0011617253245163,True,0.0,HOLD,HOLD,-0.0,-0.0,121276.84,121276.84
ARCTM,2026-03-13,0.08407437348423619,0.0019228671575122,True,0.0,BUY,BUY,7463.040000000006,7463.040000000006,128739.88,128739.88
ARCTM,2026-03-16,0.0,-0.0027035858405392,True,0.0,HOLD,HOLD,0.0,0.0,128739.88,128739.88
ARCTM,2026-03-17,-0.0876211782252051,0.0124565411133115,False,8431.800000000005,BUY,HOLD,-8431.800000000005,-0.0,120308.07999999999,128739.88
ARCTM,2026-03-18,0.08541070698814868,-0.0054130628304268,False,7498.919999999999,HOLD,BUY,0.0,7498.919999999999,120308.07999999999,136238.8
ARCTM,2026-03-19,0.04932228915662651,0.0025614613436929,True,0.0,BUY,BUY,4700.280000000008,4700.280000000008,125008.36,140939.08000000002
ARCTM,2026-03-24,0.0893433799784713,-7.563252625608147e-05,False,8934.119999999994,HOLD,BUY,0.0,8934.119999999994,125008.36,149873.2
ARCTM,2026-03-25,0.0418313570487483,0.0115391036393059,True,0.0,BUY,BUY,4556.759999999998,4556.759999999998,129565.12,154429.96
ARCTM,2026-03-26,0.0,0.0009032016056276,False,0.0,BUY,HOLD,0.0,0.0,129565.12,154429.96
ARCTM,2026-03-27,-0.08283275371482757,-0.0005403291607351,True,0.0,HOLD,HOLD,-0.0,-0.0,129565.12,154429.96
ARCTM,2026-03-30,0.05928990003447088,7.111234687045168e-05,True,0.0,BUY,BUY,6171.359999999996,6171.359999999996,135736.47999999998,160601.31999999998
ARCTM,2026-03-31,0.021151968760169115,0.001277288981735,True,0.0,BUY,BUY,2332.199999999995,2332.199999999995,138068.68,162933.52
ARCTM,2026-04-01,-0.043977055449330726,-0.001348661977642,True,0.0,HOLD,HOLD,-0.0,-0.0,138068.68,162933.52
ARCTM,2026-04-02,0.0,0.0014581517821203,False,0.0,BUY,HOLD,0.0,0.0,138068.68,162933.52
ARCTM,2026-04-03,0.024666666666666615,-0.000733047562575,False,2655.1199999999944,HOLD,BUY,0.0,2655.1199999999944,138068.68,165588.63999999996
ARCTM,2026-04-06,-0.01951854261548469,-0.0008949742071163,True,0.0,HOLD,HOLD,-0.0,-0.0,138068.68,165588.63999999996
ARCTM,2026-04-07,0.03948241539482411,0.0049599897365044,True,0.0,BUY,BUY,4269.719999999992,4269.719999999992,142338.4,169858.35999999996
ARCTM,2026-04-08,-0.006064474944142972,-0.0010342710200661,True,0.0,HOLD,HOLD,-0.0,-0.0,142338.4,169858.35999999996
ARCTM,2026-04-09,-0.0475272960822094,0.0051363376748811,False,5310.240000000002,BUY,HOLD,-5310.240000000002,-0.0,137028.15999999997,169858.35999999996
