symbol,DATE,actual_daily_return,predicted_return,same_side_as_actual,daily_pnl_diff_actual_minus_model,suggestion_pred,suggestion_actual,daily_pnl_predicted,daily_pnl_actual,equity_predicted,equity_actual
BHAT,2026-03-12,0.0,0.0024103194,False,0.0,BUY,HOLD,0.0,0.0,100000.0,100000.0
BHAT,2026-03-16,0.058139534883721034,-0.005624311,False,6400.0,HOLD,BUY,0.0,6400.0,100000.0,106400.0
BHAT,2026-03-17,0.0,-0.0014840759,True,0.0,HOLD,HOLD,0.0,0.0,100000.0,106400.0
BHAT,2026-03-24,-0.03296703296703296,-0.012027665,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,106400.0
BHAT,2026-03-27,0.0,0.011374306,False,0.0,BUY,HOLD,0.0,0.0,100000.0,106400.0
BHAT,2026-03-30,0.017045454545454586,-0.010451537,False,1920.0,HOLD,BUY,0.0,1920.0,100000.0,108320.0
BHAT,2026-04-01,0.0,0.009668481,False,0.0,BUY,HOLD,0.0,0.0,100000.0,108320.0
BHAT,2026-04-02,-0.09862569832402235,0.0033599862,False,11298.559999999998,BUY,HOLD,-11298.559999999998,-0.0,88701.44,108320.0
BHAT,2026-04-03,-0.07593618682830683,-0.0038983182,True,0.0,HOLD,HOLD,-0.0,-0.0,88701.44,108320.0
BHAT,2026-04-06,0.026198237353615816,-0.011743737,False,2499.8399999999965,HOLD,BUY,0.0,2499.8399999999965,88701.44,110819.84
BHAT,2026-04-07,0.0,0.00045761047,False,0.0,BUY,HOLD,0.0,0.0,88701.44,110819.84
BHAT,2026-04-08,0.020156862745098092,-0.0035839307,False,1973.7599999999948,HOLD,BUY,0.0,1973.7599999999948,88701.44,112793.59999999999
BHAT,2026-04-09,0.0,0.0116167385,False,0.0,BUY,HOLD,0.0,0.0,88701.44,112793.59999999999
