symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
BPL,2026-03-04,0.0,-0.0837082534379431,True,0.0,HOLD,HOLD,0.0,0.0,100000.0,100000.0
BPL,2026-03-05,0.08259860788863094,-0.0119650676789494,False,7821.31999999999,HOLD,BUY,0.0,7821.31999999999,100000.0,107821.31999999999
BPL,2026-03-06,0.001285897985426443,-0.0084799640439527,False,131.820000000005,HOLD,BUY,0.0,131.820000000005,100000.0,107953.14
BPL,2026-03-09,-0.09246575342465757,-0.0042817795006114,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,107953.14
BPL,2026-03-10,0.0594339622641511,-0.0037419111044895,False,5536.440000000007,HOLD,BUY,0.0,5536.440000000007,100000.0,113489.58
BPL,2026-03-11,0.0,-0.0087211291412183,True,0.0,HOLD,HOLD,0.0,0.0,100000.0,113489.58
BPL,2026-03-12,0.0,-0.0082869008375837,True,0.0,HOLD,HOLD,0.0,0.0,100000.0,113489.58
BPL,2026-03-16,-0.09706144256455917,-0.0020989917839325,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,113489.58
BPL,2026-03-17,0.10009861932938846,-0.0055714804023622,False,8919.819999999989,HOLD,BUY,0.0,8919.819999999989,100000.0,122409.4
BPL,2026-03-18,0.04078888390856128,0.0052453165916941,True,0.0,BUY,BUY,3998.5400000000004,3998.5400000000004,103998.54,126407.93999999999
BPL,2026-03-19,-0.019810508182601105,0.0054556597534081,False,2021.2399999999882,BUY,HOLD,-2021.2399999999882,-0.0,101977.30000000002,126407.93999999999
BPL,2026-03-24,0.062390158172231924,-0.0118270531219062,False,6239.479999999992,HOLD,BUY,0.0,6239.479999999992,101977.30000000002,132647.41999999998
BPL,2026-03-25,-0.013647642679900707,-0.0113940276144189,True,0.0,HOLD,HOLD,-0.0,-0.0,101977.30000000002,132647.41999999998
BPL,2026-03-26,0.0004192872117398938,-0.0101374772296587,False,43.93999999999126,HOLD,BUY,0.0,43.93999999999126,101977.30000000002,132691.36
BPL,2026-03-27,-0.018860016764459364,-0.0109690560841375,True,0.0,HOLD,HOLD,-0.0,-0.0,101977.30000000002,132691.36
BPL,2026-03-30,-0.009397693293464293,-0.0107916164983272,True,0.0,HOLD,HOLD,-0.0,-0.0,101977.30000000002,132691.36
BPL,2026-03-31,0.011211729193617792,-0.0114960302071566,False,1142.4399999999912,HOLD,BUY,0.0,1142.4399999999912,101977.30000000002,133833.79999999996
BPL,2026-04-01,-0.007675906183368886,-0.0112850636228802,True,0.0,HOLD,HOLD,-0.0,-0.0,101977.30000000002,133833.79999999996
BPL,2026-04-02,-0.011602922217447298,-0.0118118440699396,True,0.0,HOLD,HOLD,-0.0,-0.0,101977.30000000002,133833.79999999996
BPL,2026-04-03,0.0017391304347824654,-0.0117628345300558,False,175.75999999999624,HOLD,BUY,0.0,175.75999999999624,101977.30000000002,134009.55999999997
BPL,2026-04-06,-0.01996527777777779,-0.0117400990295893,True,0.0,HOLD,HOLD,-0.0,-0.0,101977.30000000002,134009.55999999997
BPL,2026-04-07,-0.03631532329495113,-0.0116674967128271,True,0.0,HOLD,HOLD,-0.0,-0.0,101977.30000000002,134009.55999999997
BPL,2026-04-08,0.08915441176470584,-0.011987051980896,False,8524.35999999999,HOLD,BUY,0.0,8524.35999999999,101977.30000000002,142533.91999999995
BPL,2026-04-09,-0.044303797468354444,-0.0115140239417903,True,0.0,HOLD,HOLD,-0.0,-0.0,101977.30000000002,142533.91999999995
