symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
FECTC,2026-03-04,0.022268203763917693,0.034427157265197,True,0.0,BUY,BUY,2540.2400000000057,2540.2400000000057,102540.24,102540.24
FECTC,2026-03-05,0.02361445783132532,-0.0151298968995071,False,2753.8000000000034,HOLD,BUY,0.0,2753.8000000000034,102540.24,105294.04000000001
FECTC,2026-03-06,-0.043032015065913476,-0.0019426787232309,True,0.0,HOLD,HOLD,-0.0,-0.0,102540.24,105294.04000000001
FECTC,2026-03-09,-0.09997048115713858,0.0054618579652173,False,11419.839999999997,BUY,HOLD,-11419.839999999997,-0.0,91120.40000000001,105294.04000000001
FECTC,2026-03-10,0.03673335519842569,0.0008805351213065,True,0.0,BUY,BUY,3776.6399999999994,3776.6399999999994,94897.04000000001,109070.68000000001
FECTC,2026-03-11,-0.006116207951070374,-0.0007033276226907,True,0.0,HOLD,HOLD,-0.0,-0.0,94897.04000000001,109070.68000000001
FECTC,2026-03-12,-0.016021220159151195,-0.0024068345999814,True,0.0,HOLD,HOLD,-0.0,-0.0,94897.04000000001,109070.68000000001
FECTC,2026-03-13,0.003558335130472212,0.0136040865460526,True,0.0,BUY,BUY,370.9199999999981,370.9199999999981,95267.96,109441.6
FECTC,2026-03-16,-0.044590093478027226,0.0025719588132754,False,4664.59999999999,BUY,HOLD,-4664.59999999999,-0.0,90603.36000000002,109441.6
FECTC,2026-03-17,0.02103013945119203,-0.0060296327195683,False,2101.880000000005,HOLD,BUY,0.0,2101.880000000005,90603.36000000002,111543.48000000001
FECTC,2026-03-18,0.02279986782685306,0.0073803966079667,True,0.0,BUY,BUY,2326.679999999992,2326.679999999992,92930.04000000001,113870.16
FECTC,2026-03-19,-0.04232177471462406,-0.0043074736622405,True,0.0,HOLD,HOLD,-0.0,-0.0,92930.04000000001,113870.16
FECTC,2026-03-24,-0.03856966153154173,9.888388888342115e-05,False,3855.320000000008,BUY,HOLD,-3855.320000000008,-0.0,89074.72,113870.16
FECTC,2026-03-25,0.054970760233918226,-0.0004335802250314,False,5282.800000000003,HOLD,BUY,0.0,5282.800000000003,89074.72,119152.96
FECTC,2026-03-26,-0.043126385809312606,0.0087106349749237,False,4372.360000000001,BUY,HOLD,-4372.360000000001,-0.0,84702.36,119152.96
FECTC,2026-03-27,-0.04761904761904756,-0.0027612150279807,True,0.0,HOLD,HOLD,-0.0,-0.0,84702.36,119152.96
FECTC,2026-03-30,-0.0996350364963503,-0.0003961495846947,True,0.0,HOLD,HOLD,-0.0,-0.0,84702.36,119152.96
FECTC,2026-03-31,0.0378327253073909,0.0002936548655882,True,0.0,BUY,BUY,3147.1999999999966,3147.1999999999966,87849.56,122300.16
FECTC,2026-04-01,0.05897669574274178,-0.0005827226567985,False,5091.720000000001,HOLD,BUY,0.0,5091.720000000001,87849.56,127391.88
FECTC,2026-04-02,-0.021637570690927088,0.0007854729731271,False,1978.2400000000057,BUY,HOLD,-1978.2400000000057,-0.0,85871.31999999999,127391.88
FECTC,2026-04-03,0.011686353355114365,-0.0017621825347854,False,1045.3200000000077,HOLD,BUY,0.0,1045.3200000000077,85871.31999999999,128437.20000000001
FECTC,2026-04-06,0.03341199850950183,0.0011685475125667,True,0.0,BUY,BUY,3023.5599999999977,3023.5599999999977,88894.87999999999,131460.76
FECTC,2026-04-07,0.030769230769230882,-0.0040081520048379,False,2877.4400000000023,HOLD,BUY,0.0,2877.4400000000023,88894.87999999999,134338.2
FECTC,2026-04-08,0.10004664179104483,0.001535545753998,True,0.0,BUY,BUY,9643.919999999998,9643.919999999998,98538.79999999999,143982.12
FECTC,2026-04-09,-0.002649989400042352,-0.0039873407270086,True,0.0,HOLD,HOLD,-0.0,-0.0,98538.79999999999,143982.12
