symbol,DATE,actual_daily_return,predicted_return,same_side_as_actual,daily_pnl_diff_actual_minus_model,suggestion_pred,suggestion_actual,daily_pnl_predicted,daily_pnl_actual,equity_predicted,equity_actual
HAEL,2026-03-04,-0.09837019790454016,-0.007883583,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,100000.0
HAEL,2026-03-05,0.060038734667527516,-0.0014333813,False,5354.010000000008,HOLD,BUY,0.0,5354.010000000008,100000.0,105354.01000000001
HAEL,2026-03-06,0.004872107186357999,-0.013979527,False,460.55999999999017,HOLD,BUY,0.0,460.55999999999017,100000.0,105814.56999999999
HAEL,2026-03-09,-0.06242424242424238,-0.0043043927,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,105814.56999999999
HAEL,2026-03-10,0.0678733031674208,-0.003956192,False,6044.849999999994,HOLD,BUY,0.0,6044.849999999994,100000.0,111859.42
HAEL,2026-03-11,0.029055690072639306,1.2483244e-05,True,0.0,BUY,BUY,2763.3600000000024,2763.3600000000024,102763.36,114622.78
HAEL,2026-03-12,0.0,0.012647395,False,0.0,BUY,HOLD,0.0,0.0,102763.36,114622.78
HAEL,2026-03-13,0.0,0.008798207,False,0.0,BUY,HOLD,0.0,0.0,102763.36,114622.78
HAEL,2026-03-16,-0.08999999999999997,-0.0072527216,True,0.0,HOLD,HOLD,-0.0,-0.0,102763.36,114622.78
HAEL,2026-03-17,0.051066580478345225,-0.0017165698,False,4548.030000000005,HOLD,BUY,0.0,4548.030000000005,102763.36,119170.81
HAEL,2026-03-18,-0.015990159901599132,-0.008324274,True,0.0,HOLD,HOLD,-0.0,-0.0,102763.36,119170.81
HAEL,2026-03-19,0.08562500000000006,0.003651066,True,0.0,BUY,BUY,7887.090000000006,7887.090000000006,110650.45000000001,127057.90000000001
HAEL,2026-03-24,-0.008059873344847479,-0.002701306,True,0.0,HOLD,HOLD,-0.0,-0.0,110650.45000000001,127057.90000000001
HAEL,2026-03-25,0.06326175275681956,0.0074985274,True,0.0,BUY,BUY,6275.129999999999,6275.129999999999,116925.58000000002,133333.03
HAEL,2026-03-26,-0.0032751091703056012,0.0073361276,False,345.4199999999926,BUY,HOLD,-345.4199999999926,-0.0,116580.16000000002,133333.03
HAEL,2026-03-27,0.013143483023001057,-0.0027017088,False,1381.679999999991,HOLD,BUY,0.0,1381.679999999991,116580.16000000002,134714.71
HAEL,2026-03-30,-0.016216216216216273,0.011769302,False,1727.100000000004,BUY,HOLD,-1727.100000000004,-0.0,114853.06000000001,134714.71
HAEL,2026-04-01,0.0,0.009299515,False,0.0,BUY,HOLD,0.0,0.0,114853.06000000001,134714.71
HAEL,2026-04-02,-0.06538461538461526,0.005797893,False,6850.829999999987,BUY,HOLD,-6850.829999999987,-0.0,108002.23000000003,134714.71
HAEL,2026-04-03,-0.08406819517930642,0.0070865075,False,8232.51000000001,BUY,HOLD,-8232.51000000001,-0.0,99769.72000000002,134714.71
HAEL,2026-04-06,0.05327342747111685,-0.0014955292,False,4778.31,HOLD,BUY,0.0,4778.31,99769.72000000002,139493.02
HAEL,2026-04-07,-0.034734917733089565,0.0077255424,False,3281.4900000000016,BUY,HOLD,-3281.4900000000016,-0.0,96488.23000000001,139493.02
HAEL,2026-04-08,0.07386363636363646,-0.006956442,False,6735.69000000001,HOLD,BUY,0.0,6735.69000000001,96488.23000000001,146228.71000000002
HAEL,2026-04-09,-0.03586125808348051,0.0019488449,False,3511.7700000000173,BUY,HOLD,-3511.7700000000173,-0.0,92976.45999999999,146228.71000000002
