symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
HINOON,2026-03-04,-0.023875771206105734,-0.0093918011470681,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,100000.0
HINOON,2026-03-05,-0.024178102255571376,-0.0064471875388448,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,100000.0
HINOON,2026-03-06,-0.030723225419110545,-0.0070881612086206,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,100000.0
HINOON,2026-03-09,-0.09999880882895984,-0.013786677081432,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,100000.0
HINOON,2026-03-10,0.02698660596114144,-0.0134005388998465,False,2344.8500000000113,HOLD,BUY,0.0,2344.8500000000113,100000.0,102344.85
HINOON,2026-03-11,0.06695019008956749,-0.0060699909920185,False,5974.249999999992,HOLD,BUY,0.0,5974.249999999992,100000.0,108319.1
HINOON,2026-03-12,0.08476869187099889,-0.0064083125523727,False,8070.700000000007,HOLD,BUY,0.0,8070.700000000007,100000.0,116389.80000000002
HINOON,2026-03-13,0.0009353287012292544,-0.0067897245608282,False,96.59999999999059,HOLD,BUY,0.0,96.59999999999059,100000.0,116486.4
HINOON,2026-03-16,-0.012971120900636235,-0.0035615407508859,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,116486.4
HINOON,2026-03-17,-0.008148682460609069,-0.0039762677977878,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,116486.4
HINOON,2026-03-18,-0.0026703635103348944,-0.0105131170436521,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,116486.4
HINOON,2026-03-19,-0.012624191049129485,-0.0100356363369009,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,116486.4
HINOON,2026-03-24,0.04313408723747969,-0.0036045313331381,False,4298.7,HOLD,BUY,0.0,4298.7,100000.0,120785.1
HINOON,2026-03-25,-0.009535609194893713,-0.0005889626061853,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,120785.1
HINOON,2026-03-26,-0.030613384560400303,-0.0012887526818457,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,120785.1
HINOON,2026-03-27,-0.011625093611383197,-0.0081780687206564,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,120785.1
HINOON,2026-03-30,-0.020236402210150883,-0.0081137564099589,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,120785.1
HINOON,2026-03-31,0.021511005353956003,-0.0012319337679742,False,2079.200000000005,HOLD,BUY,0.0,2079.200000000005,100000.0,122864.3
HINOON,2026-04-01,-0.0001281185212793634,-0.002138666692166,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,122864.3
HINOON,2026-04-02,-0.010099362819900648,-0.0031980341761182,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,122864.3
HINOON,2026-04-03,0.0013414921157921533,-0.0007445104307752,False,131.1000000000115,HOLD,BUY,0.0,131.1000000000115,100000.0,122995.40000000002
HINOON,2026-04-06,-0.0011751709873786265,-0.0020153630559817,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,122995.40000000002
HINOON,2026-04-07,-0.01595406734593041,-0.0094725218669675,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,122995.40000000002
HINOON,2026-04-08,0.10000239125756227,-0.0099606177671634,False,9618.599999999999,HOLD,BUY,0.0,9618.599999999999,100000.0,132614.00000000003
HINOON,2026-04-09,0.057477011369318154,-0.0036038657683062,False,6081.2,HOLD,BUY,0.0,6081.2,100000.0,138695.2
