symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
IBLHL,2026-03-04,0.04088454615582404,0.0114863907182972,True,0.0,BUY,BUY,3703.1099999999915,3703.1099999999915,103703.10999999999,103703.10999999999
IBLHL,2026-03-05,0.058300395256917215,0.0117973264695103,True,0.0,BUY,BUY,5496.440000000015,5496.440000000015,109199.55,109199.55
IBLHL,2026-03-06,-0.05555555555555558,0.0140506788054086,False,5543.020000000006,BUY,HOLD,-5543.020000000006,-0.0,103656.53,109199.55
IBLHL,2026-03-09,-0.0773603559070688,0.0072880847715567,False,7289.770000000006,BUY,HOLD,-7289.770000000006,-0.0,96366.76,109199.55
IBLHL,2026-03-10,0.09000803643182431,0.0077652737070512,True,0.0,BUY,BUY,7825.439999999999,7825.439999999999,104192.2,117024.99
IBLHL,2026-03-11,0.022118456623249072,0.0149587687986326,True,0.0,BUY,BUY,2096.100000000013,2096.100000000013,106288.3,119121.09000000003
IBLHL,2026-03-12,0.008655926905506206,0.0132363504266329,True,0.0,BUY,BUY,838.4399999999987,838.4399999999987,107126.74,119959.53000000001
IBLHL,2026-03-13,-0.016924910607866495,0.0147462218951669,False,1653.590000000002,BUY,HOLD,-1653.590000000002,-0.0,105473.15000000001,119959.53000000001
IBLHL,2026-03-16,-0.02667313288069839,0.0148120926277476,False,2561.9000000000033,BUY,HOLD,-2561.9000000000033,-0.0,102911.25,119959.53000000001
IBLHL,2026-03-17,0.023667164922770434,0.0167923999798578,True,0.0,BUY,BUY,2212.5500000000065,2212.5500000000065,105123.8,122172.08000000002
IBLHL,2026-03-18,0.047213433925529236,0.0097403092585375,True,0.0,BUY,BUY,4518.259999999995,4518.259999999995,109642.06,126690.34000000003
IBLHL,2026-03-19,-0.002091564025098802,0.009922949319401,False,209.61000000000794,BUY,HOLD,-209.61000000000794,-0.0,109432.45,126690.34000000003
IBLHL,2026-03-24,0.015137401024685637,0.0160942771981048,True,0.0,BUY,BUY,1513.8500000000133,1513.8500000000133,110946.3,128204.19000000003
IBLHL,2026-03-25,0.014911676990135403,0.0159442103299748,True,0.0,BUY,BUY,1513.8499999999967,1513.8499999999967,112460.15000000001,129718.04000000004
IBLHL,2026-03-26,-0.03820072332730573,0.0177464649602941,False,3936.010000000011,BUY,HOLD,-3936.010000000011,-0.0,108524.13999999998,129718.04000000004
IBLHL,2026-03-27,-0.03760282021151573,0.0105581043412798,False,3726.399999999987,BUY,HOLD,-3726.399999999987,-0.0,104797.74,129718.04000000004
IBLHL,2026-03-30,-0.07203907203907212,0.0106482175571685,False,6870.550000000007,BUY,HOLD,-6870.550000000007,-0.0,97927.19,129718.04000000004
IBLHL,2026-03-31,0.02947368421052632,0.0175042112229442,True,0.0,BUY,BUY,2608.479999999994,2608.479999999994,100535.67,132326.52000000002
IBLHL,2026-04-01,0.0439672801635993,0.0155019533059933,True,0.0,BUY,BUY,4005.8800000000138,4005.8800000000138,104541.55,136332.40000000002
IBLHL,2026-04-02,-0.016895200783545672,0.0167947191244648,False,1607.0100000000114,BUY,HOLD,-1607.0100000000114,-0.0,102934.54,136332.40000000002
IBLHL,2026-04-03,-0.007970112079701108,0.0167081608791672,False,745.2800000000007,BUY,HOLD,-745.2800000000007,-0.0,102189.26,136332.40000000002
IBLHL,2026-04-06,0.02887270901330652,0.0185995247784011,True,0.0,BUY,BUY,2678.3499999999967,2678.3499999999967,104867.60999999999,139010.75000000003
IBLHL,2026-04-07,0.0048804294777942125,0.0115177548112792,True,0.0,BUY,BUY,465.8000000000066,465.8000000000066,105333.41,139476.55000000005
IBLHL,2026-04-08,0.09859154929577474,0.0117229365881072,True,0.0,BUY,BUY,9455.740000000005,9455.740000000005,114789.15000000001,148932.29000000004
IBLHL,2026-04-09,0.01525198938992034,0.0186929282829055,True,0.0,BUY,BUY,1607.0099999999948,1607.0099999999948,116396.16,150539.30000000005
