symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
ISL,2026-03-04,-0.030910716566611374,-0.012151526,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,100000.0
ISL,2026-03-05,0.06023461183603529,-0.009639718,False,6238.049999999991,HOLD,BUY,0.0,6238.049999999991,100000.0,106238.04999999999
ISL,2026-03-06,-0.057931377424166985,-0.016394597,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,106238.04999999999
ISL,2026-03-09,-0.09065716547901825,-0.014212033,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,106238.04999999999
ISL,2026-03-10,0.09998548831809617,0.0039417227,True,0.0,BUY,BUY,9404.85,9404.85,109404.85,115642.9
ISL,2026-03-11,0.02783641160949868,0.005675939,True,0.0,BUY,BUY,2880.149999999999,2880.149999999999,112285.0,118523.04999999999
ISL,2026-03-12,-0.012065203439866501,0.011259168,False,1283.099999999997,BUY,HOLD,-1283.099999999997,-0.0,111001.90000000001,118523.04999999999
ISL,2026-03-13,-0.02481486293361046,0.0024468668,False,2607.1499999999955,BUY,HOLD,-2607.1499999999955,-0.0,108394.75,118523.04999999999
ISL,2026-03-16,-0.04489741540101255,-0.00081023574,True,0.0,HOLD,HOLD,-0.0,-0.0,108394.75,118523.04999999999
ISL,2026-03-17,0.002371320965267154,0.0027147897,True,0.0,BUY,BUY,232.05000000000234,232.05000000000234,108626.80000000002,118755.09999999999
ISL,2026-03-18,0.022126356804898384,-0.0025502625,False,2170.3500000000045,HOLD,BUY,0.0,2170.3500000000045,108626.80000000002,120925.45
ISL,2026-03-19,-0.002859087814840122,-0.00401252,True,0.0,HOLD,HOLD,-0.0,-0.0,108626.80000000002,120925.45
ISL,2026-03-24,-0.009967231021299705,-0.011686534,True,0.0,HOLD,HOLD,-0.0,-0.0,108626.80000000002,120925.45
ISL,2026-03-25,0.04813129223555368,-0.003220364,False,4763.849999999993,HOLD,BUY,0.0,4763.849999999993,108626.80000000002,125689.29999999999
ISL,2026-03-26,-0.03894736842105251,0.0019042102,False,4040.3999999999915,BUY,HOLD,-4040.3999999999915,-0.0,104586.40000000002,125689.29999999999
ISL,2026-03-27,-0.01382803943044919,0.0017182851,False,1378.650000000007,BUY,HOLD,-1378.650000000007,-0.0,103207.75000000001,125689.29999999999
ISL,2026-03-30,-0.04553658197973065,-0.0064849,True,0.0,HOLD,HOLD,-0.0,-0.0,103207.75000000001,125689.29999999999
ISL,2026-03-31,0.021963636363636407,-0.008545644,False,2061.150000000007,HOLD,BUY,0.0,2061.150000000007,103207.75000000001,127750.45
ISL,2026-04-01,0.039567321377739884,-0.005351517,False,3794.7000000000016,HOLD,BUY,0.0,3794.7000000000016,103207.75000000001,131545.15
ISL,2026-04-02,-0.0313526834611173,-0.00842979,True,0.0,HOLD,HOLD,-0.0,-0.0,103207.75000000001,131545.15
ISL,2026-04-03,-0.03915194346289752,-0.006179802,True,0.0,HOLD,HOLD,-0.0,-0.0,103207.75000000001,131545.15
ISL,2026-04-06,0.0394233598117093,-0.008661753,False,3658.19999999999,HOLD,BUY,0.0,3658.19999999999,103207.75000000001,135203.34999999998
ISL,2026-04-07,-0.05731672799320686,-0.0024584432,True,0.0,HOLD,HOLD,-0.0,-0.0,103207.75000000001,135203.34999999998
ISL,2026-04-08,0.09998498723915317,-0.004768785,False,9090.899999999996,HOLD,BUY,0.0,9090.899999999996,103207.75000000001,144294.25
ISL,2026-04-09,0.08475501569537336,-0.008745896,False,8476.65000000001,HOLD,BUY,0.0,8476.65000000001,103207.75000000001,152770.9
