symbol,DATE,actual_daily_return,predicted_return,same_side_as_actual,daily_pnl_diff_actual_minus_model,suggestion_pred,suggestion_actual,daily_pnl_predicted,daily_pnl_actual,equity_predicted,equity_actual
KOHE,2026-03-04,0.008023340627279385,-0.029606852678066,False,797.0599999999959,HOLD,BUY,0.0,797.0599999999959,100000.0,100797.06
KOHE,2026-03-05,0.02243125904486254,0.0069128448127793,True,0.0,BUY,BUY,2246.2600000000034,2246.2600000000034,102246.26000000001,103043.31999999999
KOHE,2026-03-06,-0.04104741684359514,0.0103604673947481,False,4202.68,BUY,HOLD,-4202.68,-0.0,98043.58,103043.31999999999
KOHE,2026-03-09,-0.03394833948339493,0.012469812484662,False,3333.160000000006,BUY,HOLD,-3333.160000000006,-0.0,94710.42,103043.31999999999
KOHE,2026-03-10,0.04125286478227652,0.0095522814787337,True,0.0,BUY,BUY,3912.8400000000065,3912.8400000000065,98623.26000000001,106956.16
KOHE,2026-03-11,0.027146001467351466,0.012106007878639,True,0.0,BUY,BUY,2681.0199999999945,2681.0199999999945,101304.28,109637.18
KOHE,2026-03-12,-0.01642857142857146,0.016208091635258,False,1666.580000000003,BUY,HOLD,-1666.580000000003,-0.0,99637.7,109637.18
KOHE,2026-03-13,0.008714596949891185,0.014391426007507,True,0.0,BUY,BUY,869.5200000000073,869.5200000000073,100507.22,110506.70000000001
KOHE,2026-03-16,0.0007199424046075986,0.022135325581445,True,0.0,BUY,BUY,72.45999999999846,72.45999999999846,100579.68,110579.16
KOHE,2026-03-17,-0.010071942446043258,0.0193005394829789,False,1014.4400000000041,BUY,HOLD,-1014.4400000000041,-0.0,99565.23999999999,110579.16
KOHE,2026-03-18,0.013081395348837122,0.0159456341810797,True,0.0,BUY,BUY,1304.279999999998,1304.279999999998,100869.51999999999,111883.44
KOHE,2026-03-19,-0.010043041606886516,0.0205751000609152,False,1014.4399999999913,BUY,HOLD,-1014.4399999999913,-0.0,99855.08,111883.44
KOHE,2026-03-24,-0.0021739130434783593,0.0161523012909659,False,217.38000000000824,BUY,HOLD,-217.38000000000824,-0.0,99637.7,111883.44
KOHE,2026-03-25,0.023238925199709604,0.0164541125518085,True,0.0,BUY,BUY,2318.720000000002,2318.720000000002,101956.42,114202.16
KOHE,2026-03-26,-0.002838892831795503,0.0116069184569324,False,289.83999999999384,BUY,HOLD,-289.83999999999384,-0.0,101666.58,114202.16
KOHE,2026-03-27,-0.007829181494662052,0.0228711501471926,False,797.0600000000087,BUY,HOLD,-797.0600000000087,-0.0,100869.51999999999,114202.16
KOHE,2026-03-30,-0.0258249641319942,0.0167186242833833,False,2608.559999999996,BUY,HOLD,-2608.559999999996,-0.0,98260.95999999999,114202.16
KOHE,2026-03-31,-0.012518409425625876,0.0182014783481885,False,1231.8199999999995,BUY,HOLD,-1231.8199999999995,-0.0,97029.14,114202.16
KOHE,2026-04-01,0.017897091722595126,0.0121259525070846,True,0.0,BUY,BUY,1739.0400000000016,1739.0400000000016,98768.18,115941.20000000001
KOHE,2026-04-02,-0.01172161172161168,0.0134346181030932,False,1159.360000000001,BUY,HOLD,-1159.360000000001,-0.0,97608.81999999999,115941.20000000001
KOHE,2026-04-03,0.014084507042253502,0.0161238906691368,True,0.0,BUY,BUY,1376.7399999999964,1376.7399999999964,98985.56,117317.94
KOHE,2026-04-06,-0.002192982456140302,0.016182048103417,False,217.37999999999536,BUY,HOLD,-217.37999999999536,-0.0,98768.18,117317.94
KOHE,2026-04-07,-0.01245421245421241,0.0139505479645982,False,1231.8199999999995,BUY,HOLD,-1231.8199999999995,-0.0,97536.36,117317.94
KOHE,2026-04-08,0.04302670623145399,0.0161936271470474,True,0.0,BUY,BUY,4202.68,4202.68,101739.04000000001,121520.62000000001
KOHE,2026-04-09,-0.034850640113798015,0.0161238906691368,False,3550.5400000000013,BUY,HOLD,-3550.5400000000013,-0.0,98188.5,121520.62000000001
