symbol,DATE,actual_daily_return,predicted_return,same_side_as_actual,daily_pnl_diff_actual_minus_model,suggestion_pred,suggestion_actual,daily_pnl_predicted,daily_pnl_actual,equity_predicted,equity_actual
KSBP,2026-03-04,0.040187256809338656,-0.0021565638893055,False,3271.9500000000066,HOLD,BUY,0.0,3271.9500000000066,100000.0,103271.95000000001
KSBP,2026-03-05,0.10000584487696518,-0.0022519502699514,False,8469.449999999993,HOLD,BUY,0.0,8469.449999999993,100000.0,111741.4
KSBP,2026-03-06,0.024123273113708876,-0.0029460522711559,False,2247.30000000001,HOLD,BUY,0.0,2247.30000000001,100000.0,113988.70000000001
KSBP,2026-03-09,-0.012815191449621288,0.0016852204616329,False,1222.6499999999994,BUY,HOLD,-1222.6499999999994,-0.0,98777.35,113988.70000000001
KSBP,2026-03-10,0.011825300888211432,-0.0013418417771824,False,1113.75,HOLD,BUY,0.0,1113.75,98777.35,115102.45000000001
KSBP,2026-03-11,0.010492416372324787,-0.001927958324218,False,999.899999999991,HOLD,BUY,0.0,999.899999999991,98777.35,116102.35
KSBP,2026-03-12,-0.022823069805695484,0.0006129109637509,False,2197.799999999999,BUY,HOLD,-2197.799999999999,-0.0,96579.55,116102.35
KSBP,2026-03-13,0.0036822724881642177,-0.0026307863152219,False,346.5000000000084,HOLD,BUY,0.0,346.5000000000084,96579.55,116448.85
KSBP,2026-03-16,-0.005607966457023217,-0.0023811546347611,True,0.0,HOLD,HOLD,-0.0,-0.0,96579.55,116448.85
KSBP,2026-03-17,0.0016339008064090166,-0.0022181551717215,False,153.45000000000113,HOLD,BUY,0.0,153.45000000000113,96579.55,116602.30000000002
KSBP,2026-03-18,-5.262050094712034e-05,-0.0022705324964694,True,0.0,HOLD,HOLD,-0.0,-0.0,96579.55,116602.30000000002
KSBP,2026-03-19,0.06283218439193816,-0.0035115232662293,False,5910.299999999999,HOLD,BUY,0.0,5910.299999999999,96579.55,122512.6
KSBP,2026-03-24,0.10001485369114227,0.0004954049337727,True,0.0,BUY,BUY,9998.999999999995,9998.999999999995,106578.55,132511.6
KSBP,2026-03-25,-0.056983391096907754,-0.0002471311574672,True,0.0,HOLD,HOLD,-0.0,-0.0,106578.55,132511.6
KSBP,2026-03-26,-0.037802491527850646,-0.0029565601865915,True,0.0,HOLD,HOLD,-0.0,-0.0,106578.55,132511.6
KSBP,2026-03-27,-0.08353588967706738,-0.0014256134396277,True,0.0,HOLD,HOLD,-0.0,-0.0,106578.55,132511.6
KSBP,2026-03-30,-0.061271989174560226,-0.0019160206835575,True,0.0,HOLD,HOLD,-0.0,-0.0,106578.55,132511.6
KSBP,2026-03-31,0.02294874012569914,-0.0019160206835575,False,1970.099999999995,HOLD,BUY,0.0,1970.099999999995,106578.55,134481.7
KSBP,2026-04-01,0.04616425229693921,-0.0018299180250031,False,4054.049999999999,HOLD,BUY,0.0,4054.049999999999,106578.55,138535.75
KSBP,2026-04-02,0.08846982758620703,-0.0010714058337068,False,8127.900000000008,HOLD,BUY,0.0,8127.900000000008,106578.55,146663.65
KSBP,2026-04-03,-0.04068904068904067,-0.0018431798783239,True,0.0,HOLD,HOLD,-0.0,-0.0,106578.55,146663.65
KSBP,2026-04-06,-0.010577915376677072,-0.0018218568148813,True,0.0,HOLD,HOLD,-0.0,-0.0,106578.55,146663.65
KSBP,2026-04-07,-0.006258148631029914,-0.0012110236013529,True,0.0,HOLD,HOLD,-0.0,-0.0,106578.55,146663.65
KSBP,2026-04-08,0.08071372343216998,-0.0017987901593486,False,7613.099999999998,HOLD,BUY,0.0,7613.099999999998,106578.55,154276.75
KSBP,2026-04-09,-0.031078521827805572,-0.0019160206835575,True,0.0,HOLD,HOLD,-0.0,-0.0,106578.55,154276.75
