symbol,DATE,actual_daily_return,predicted_return,same_side_as_actual,daily_pnl_diff_actual_minus_model,suggestion_pred,suggestion_actual,daily_pnl_predicted,daily_pnl_actual,equity_predicted,equity_actual
MWMP,2026-03-04,-0.018645731108930308,-0.0396497168353727,True,0.0,HOLD,HOLD,-0.0,-0.0,100000.0,100000.0
MWMP,2026-03-05,0.0009999999999998899,0.0037503736927937,True,0.0,BUY,BUY,72.99999999999844,72.99999999999844,100073.0,100073.0
MWMP,2026-03-06,-0.0032467532467532756,-0.0164990043285456,True,0.0,HOLD,HOLD,-0.0,-0.0,100073.0,100073.0
MWMP,2026-03-09,-0.050363317464294566,-0.0205102722224807,True,0.0,HOLD,HOLD,-0.0,-0.0,100073.0,100073.0
MWMP,2026-03-10,0.10000000000000009,-0.0147347846041337,False,6916.749999999998,HOLD,BUY,0.0,6916.749999999998,100073.0,106989.75
MWMP,2026-03-11,0.10002398656752232,-0.0042872564329613,False,7610.250000000003,HOLD,BUY,0.0,7610.250000000003,100073.0,114600.0
MWMP,2026-03-12,0.10008722197993891,-0.0029586561404612,False,8376.750000000005,HOLD,BUY,0.0,8376.750000000005,100073.0,122976.75
MWMP,2026-03-13,0.09990089197224972,-0.0155414670680107,False,9197.999999999998,HOLD,BUY,0.0,9197.999999999998,100073.0,132174.75
MWMP,2026-03-16,-0.013335736168679113,-0.0165481196604138,True,0.0,HOLD,HOLD,-0.0,-0.0,100073.0,132174.75
MWMP,2026-03-17,0.016803652968036653,-0.015746332293806,False,1679.0000000000032,HOLD,BUY,0.0,1679.0000000000032,100073.0,133853.75
MWMP,2026-03-18,0.01329261720855035,-0.0023623345892655,False,1350.4999999999907,HOLD,BUY,0.0,1350.4999999999907,100073.0,135204.25
MWMP,2026-03-19,-0.028895585889026743,0.002870119696703,False,2974.749999999992,BUY,HOLD,-2974.749999999992,-0.0,97098.25,135204.25
MWMP,2026-03-24,-0.007484483388097929,-0.0061123658363815,True,0.0,HOLD,HOLD,-0.0,-0.0,97098.25,135204.25
MWMP,2026-03-25,0.012139047268714398,-0.0016832837815086,False,1204.5000000000068,HOLD,BUY,0.0,1204.5000000000068,97098.25,136408.75
MWMP,2026-03-26,-0.007268762493185532,-0.0048545717207717,True,0.0,HOLD,HOLD,-0.0,-0.0,97098.25,136408.75
MWMP,2026-03-27,-0.025260845689181854,-0.0095462968229288,True,0.0,HOLD,HOLD,-0.0,-0.0,97098.25,136408.75
MWMP,2026-03-30,-0.04206572769953054,-0.0129478846074697,True,0.0,HOLD,HOLD,-0.0,-0.0,97098.25,136408.75
MWMP,2026-03-31,0.03744363850225452,-0.0078378369379585,False,3485.750000000007,HOLD,BUY,0.0,3485.750000000007,97098.25,139894.5
MWMP,2026-04-01,0.012093726379440728,-0.0075823768720783,False,1168.0000000000011,HOLD,BUY,0.0,1168.0000000000011,97098.25,141062.5
MWMP,2026-04-02,-0.03846153846153855,-0.0079121554700779,True,0.0,HOLD,HOLD,-0.0,-0.0,97098.25,141062.5
MWMP,2026-04-03,-0.06718446601941752,-0.0103034150851732,True,0.0,HOLD,HOLD,-0.0,-0.0,97098.25,141062.5
MWMP,2026-04-06,0.0999167360532891,-0.0116712087734355,False,8760.000000000007,HOLD,BUY,0.0,8760.000000000007,97098.25,149822.50000000003
MWMP,2026-04-07,-0.031037093111279335,-0.0057893037844756,True,0.0,HOLD,HOLD,-0.0,-0.0,97098.25,149822.50000000003
MWMP,2026-04-08,0.05820312499999991,-0.0034363297186907,False,5438.4999999999945,HOLD,BUY,0.0,5438.4999999999945,97098.25,155261.0
MWMP,2026-04-09,0.00036913990402376307,-0.0097728781592568,False,36.500000000005706,HOLD,BUY,0.0,36.500000000005706,97098.25,155297.50000000003
