symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
STYLERS,2026-03-04,0.0,-0.0125676129768383,True,0.0,HOLD,HOLD,0.0,0.0,100000.0,100000.0
STYLERS,2026-03-05,-0.07303090727816552,0.0039425652631062,False,6542.69,BUY,HOLD,-6542.69,-0.0,93457.31,100000.0
STYLERS,2026-03-06,0.04302231782737298,-0.0051997670978525,False,3572.8000000000034,HOLD,BUY,0.0,3572.8000000000034,93457.31,103572.8
STYLERS,2026-03-09,0.09177623098736798,0.0044938904984848,True,0.0,BUY,BUY,7949.480000000005,7949.480000000005,101406.79000000001,111522.28000000001
STYLERS,2026-03-10,0.060448642266824004,-0.0010961656171289,False,5716.47999999999,HOLD,BUY,0.0,5716.47999999999,101406.79000000001,117238.76
STYLERS,2026-03-11,-0.03718548207526151,0.0002074415021866,False,3729.109999999988,BUY,HOLD,-3729.109999999988,-0.0,97677.68000000002,117238.76
STYLERS,2026-03-12,0.0,0.0103355812744647,False,0.0,BUY,HOLD,0.0,0.0,97677.68000000002,117238.76
STYLERS,2026-03-13,-0.030758556891766986,-0.0084983256352328,True,0.0,HOLD,HOLD,-0.0,-0.0,97677.68000000002,117238.76
STYLERS,2026-03-16,0.0069195895967550936,0.003531982390473,True,0.0,BUY,BUY,647.5700000000139,647.5700000000139,98325.25000000003,117886.33000000002
STYLERS,2026-03-17,-0.05213270142180104,-0.0048363026000718,True,0.0,HOLD,HOLD,-0.0,-0.0,98325.25000000003,117886.33000000002
STYLERS,2026-03-18,0.09175,0.0028040707712053,True,0.0,BUY,BUY,8195.110000000004,8195.110000000004,106520.36000000003,126081.44000000002
STYLERS,2026-03-19,0.0254179070299978,0.00271277949071,True,0.0,BUY,BUY,2478.6299999999987,2478.6299999999987,108998.99000000003,128560.07
STYLERS,2026-03-24,0.027244305493523857,0.0028842695270736,True,0.0,BUY,BUY,2724.2599999999975,2724.2599999999975,111723.25000000003,131284.33000000002
STYLERS,2026-03-25,0.02456521739130446,0.0006089788843709,True,0.0,BUY,BUY,2523.290000000006,2523.290000000006,114246.54000000004,133807.62000000002
STYLERS,2026-03-26,-0.0059410142159983526,0.0030221405533455,False,625.2400000000025,BUY,HOLD,-625.2400000000025,-0.0,113621.30000000003,133807.62000000002
STYLERS,2026-03-27,-0.0014941302027747794,-0.0027358744918287,True,0.0,HOLD,HOLD,-0.0,-0.0,113621.30000000003,133807.62000000002
STYLERS,2026-03-30,-0.021376656690893503,-0.0035967540439379,True,0.0,HOLD,HOLD,-0.0,-0.0,113621.30000000003,133807.62000000002
STYLERS,2026-03-31,-0.01747487986020102,0.0012786254796001,False,1786.4000000000094,BUY,HOLD,-1786.4000000000094,-0.0,111834.90000000002,133807.62000000002
STYLERS,2026-04-01,0.031347265451311834,-0.0018296244920995,False,3148.5300000000084,HOLD,BUY,0.0,3148.5300000000084,111834.90000000002,136956.15000000002
STYLERS,2026-04-02,-0.029747790472084534,-0.0014154610875827,True,0.0,HOLD,HOLD,-0.0,-0.0,111834.90000000002,136956.15000000002
STYLERS,2026-04-03,-0.06087536103088187,0.0031257615891291,False,6118.419999999988,BUY,HOLD,-6118.419999999988,-0.0,105716.48000000004,136956.15000000002
STYLERS,2026-04-06,0.04211024367163452,-0.0031902299410136,False,3974.7399999999866,HOLD,BUY,0.0,3974.7399999999866,105716.48000000004,140930.89
STYLERS,2026-04-07,0.04245175936435874,0.002812325759601,True,0.0,BUY,BUY,4175.71000000001,4175.71000000001,109892.19000000005,145106.60000000003
STYLERS,2026-04-08,0.00217770034843201,-8.923056791334963e-05,False,223.30000000000317,HOLD,BUY,0.0,223.30000000000317,109892.19000000005,145329.90000000002
STYLERS,2026-04-09,-0.004997827031725466,-0.0028183415740432,True,0.0,HOLD,HOLD,-0.0,-0.0,109892.19000000005,145329.90000000002
