symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
TSMF,2026-03-04,0.0109976433621366,-0.047750216,False,1015.2799999999912,HOLD,BUY,0.0,1015.2799999999912,100000.0,101015.27999999998
TSMF,2026-03-05,0.09790209790209814,-0.0055044116,False,9137.520000000011,HOLD,BUY,0.0,9137.520000000011,100000.0,110152.8
TSMF,2026-03-10,0.0,-0.007773416,True,0.0,HOLD,HOLD,0.0,0.0,100000.0,110152.8
TSMF,2026-03-11,0.00424628450106157,0.023791157,True,0.0,BUY,BUY,435.11999999999074,435.11999999999074,100435.12,110587.92
TSMF,2026-03-12,0.04933051444679348,0.012809702,True,0.0,BUY,BUY,5076.400000000008,5076.400000000008,105511.52,115664.32
TSMF,2026-03-13,-0.09872397582269987,0.010041953,False,10660.440000000004,BUY,HOLD,-10660.440000000004,-0.0,94851.07999999999,115664.32
TSMF,2026-03-16,-0.03055141579731746,0.0042266436,False,2973.320000000001,BUY,HOLD,-2973.320000000001,-0.0,91877.76,115664.32
TSMF,2026-03-17,-0.003843197540353449,0.018050088,False,362.5999999999923,BUY,HOLD,-362.5999999999923,-0.0,91515.16,115664.32
TSMF,2026-03-18,0.0030864197530864335,-0.008278214,False,290.0799999999938,HOLD,BUY,0.0,290.0799999999938,91515.16,115954.4
TSMF,2026-03-19,0.06076923076923069,-0.0070709516,False,5729.079999999994,HOLD,BUY,0.0,5729.079999999994,91515.16,121683.47999999998
TSMF,2026-03-24,-0.042784626540971704,0.00037844363,False,4278.679999999999,BUY,HOLD,-4278.679999999999,-0.0,87236.48,121683.47999999998
TSMF,2026-03-25,0.002272727272727426,-0.00992248,False,217.56000000000824,HOLD,BUY,0.0,217.56000000000824,87236.48,121901.04
TSMF,2026-03-26,0.03325774754346189,-0.019537497,False,3190.8799999999965,HOLD,BUY,0.0,3190.8799999999965,87236.48,125091.92
TSMF,2026-03-27,-0.005852231163130939,0.013664304,False,580.1600000000005,BUY,HOLD,-580.1600000000005,-0.0,86656.32,125091.92
TSMF,2026-03-30,-0.04415011037527594,-0.02420618,True,0.0,HOLD,HOLD,-0.0,-0.0,86656.32,125091.92
TSMF,2026-03-31,0.06235565819861444,0.017677598,True,0.0,BUY,BUY,5874.1200000000035,5874.1200000000035,92530.44,130966.04
TSMF,2026-04-01,0.07608695652173902,0.005124501,True,0.0,BUY,BUY,7614.599999999992,7614.599999999992,100145.04,138580.63999999998
TSMF,2026-04-02,-0.0505050505050505,0.013015824,False,5439.0,BUY,HOLD,-5439.0,-0.0,94706.04,138580.63999999998
TSMF,2026-04-03,0.04397163120567393,-0.0026101456,False,4496.240000000007,HOLD,BUY,0.0,4496.240000000007,94706.04,143076.88
TSMF,2026-04-06,-0.0040760869565217295,0.019169487,False,435.1200000000036,BUY,HOLD,-435.1200000000036,-0.0,94270.92,143076.88
TSMF,2026-04-07,0.08185538881309684,-0.009556669,False,8702.399999999994,HOLD,BUY,0.0,8702.399999999994,94270.92,151779.28
TSMF,2026-04-08,0.06746532156368223,0.0024739602,True,0.0,BUY,BUY,7759.640000000002,7759.640000000002,102030.56,159538.91999999998
TSMF,2026-04-09,0.0,0.0037689894,False,0.0,BUY,HOLD,0.0,0.0,102030.56,159538.91999999998
