symbol,DATE,actual_daily_return,predicted_return,same_side_as_oracle,daily_pnl_diff_oracle_minus_model,suggestion_pred,suggestion_oracle,daily_pnl_predicted,daily_pnl_oracle,equity_predicted,equity_oracle
BOP,2026-03-04,-0.027932960893854775,0.0080031791375516,False,3091.2000000000025,BUY,HOLD,-3091.2000000000025,-0.0,96908.8,100000.0
BOP,2026-03-05,0.04920977011494254,0.0091703761035116,True,0.0,BUY,BUY,5293.680000000004,5293.680000000004,102202.48,105293.68000000001
BOP,2026-03-06,-0.03183841150291,0.0087514750587537,False,3593.519999999999,BUY,HOLD,-3593.519999999999,-0.0,98608.96,105293.68000000001
BOP,2026-03-09,-0.10007072135785011,-0.0018541601771685,True,0.0,HOLD,HOLD,-0.0,-0.0,98608.96,105293.68000000001
BOP,2026-03-10,0.07190569744597264,-0.0024348838016769,False,7071.120000000007,HOLD,BUY,0.0,7071.120000000007,98608.96,112364.80000000002
BOP,2026-03-11,0.025293255131964676,0.0034717558119345,True,0.0,BUY,BUY,2666.159999999991,2666.159999999991,101275.12,115030.96
BOP,2026-03-12,-0.008938148015731118,0.0042250215448074,False,966.0,BUY,HOLD,-966.0,-0.0,100309.12,115030.96
BOP,2026-03-13,-0.016594516594516495,0.0040318964393269,False,1777.4399999999896,BUY,HOLD,-1777.4399999999896,-0.0,98531.68000000001,115030.96
BOP,2026-03-16,-0.025678650036683903,0.0052607764562906,False,2704.800000000011,BUY,HOLD,-2704.800000000011,-0.0,95826.87999999999,115030.96
BOP,2026-03-17,-0.02899096385542166,0.0049530109896189,False,2975.2799999999984,BUY,HOLD,-2975.2799999999984,-0.0,92851.59999999999,115030.96
BOP,2026-03-18,0.06824350523458711,-0.005489352628514,False,6800.640000000006,HOLD,BUY,0.0,6800.640000000006,92851.59999999999,121831.6
BOP,2026-03-19,-0.060617059891107106,-0.00585281547038,True,0.0,HOLD,HOLD,-0.0,-0.0,92851.59999999999,121831.6
BOP,2026-03-24,0.00502318392581147,0.0015931331048671,True,0.0,BUY,BUY,502.3200000000099,502.3200000000099,93353.92,122333.92000000001
BOP,2026-03-25,0.02422145328719716,0.0032529639487344,True,0.0,BUY,BUY,2434.319999999996,2434.319999999996,95788.24,124768.24000000002
BOP,2026-03-26,-0.035285285285285295,0.0034230597187461,False,3632.160000000005,BUY,HOLD,-3632.160000000005,-0.0,92156.08,124768.24000000002
BOP,2026-03-27,0.0027237354085603016,-0.006499659702908,False,270.4800000000011,HOLD,BUY,0.0,270.4800000000011,92156.08,125038.72000000002
BOP,2026-03-30,-0.058595265812960706,-0.0063080665630403,True,0.0,HOLD,HOLD,-0.0,-0.0,92156.08,125038.72000000002
BOP,2026-03-31,0.01937345424567183,0.0004536336046497,True,0.0,BUY,BUY,1816.0799999999956,1816.0799999999956,93972.15999999999,126854.8
BOP,2026-04-01,0.07238172260412457,0.0021358952584118,True,0.0,BUY,BUY,6916.559999999997,6916.559999999997,100888.71999999999,133771.36
BOP,2026-04-02,-0.0501508295625942,0.0029347861519945,False,5139.1199999999935,BUY,HOLD,-5139.1199999999935,-0.0,95749.59999999999,133771.36
BOP,2026-04-03,-0.01190948789202062,0.0052057832501786,False,1159.2000000000028,BUY,HOLD,-1159.2000000000028,-0.0,94590.4,133771.36
BOP,2026-04-06,0.005624748895138643,0.0059754757559436,True,0.0,BUY,BUY,540.9600000000022,540.9600000000022,95131.36,134312.32
BOP,2026-04-07,0.007191370355573268,-0.0033704696287479,False,695.5199999999988,HOLD,BUY,0.0,695.5199999999988,95131.36,135007.84
BOP,2026-04-08,0.09996033320111075,-0.0026362789004305,False,9737.279999999999,HOLD,BUY,0.0,9737.279999999999,95131.36,144745.12
BOP,2026-04-09,0.011900468806346876,0.0046226491420183,True,0.0,BUY,BUY,1275.1199999999935,1275.1199999999935,96406.47999999998,146020.24
