symbol,model,prediction_file,pnl_mode,negative_mode,trading_days,first_date,last_date,ref_close,ref_price_date_used,shares,invested_notional,pnl_predicted,pnl_oracle,final_equity_predicted,final_equity_oracle,total_return_predicted,total_return_oracle,days_long_predicted,days_short_predicted,days_flat_predicted,days_long_oracle,days_short_oracle,days_flat_oracle,return_gap_oracle_minus_predicted,total_return_sign_predicted,total_return_sign_oracle,predicted_underperforms_oracle
AATM,Prophet,AATM_predictions_20260311_054013_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,34.71,2026-03-19,2881.0,99999.51000000001,-460.9599999999905,37769.909999999996,99539.04000000001,137769.91,-0.004609599999999905,0.37769909999999995,8,0,17,9,0,16,0.38230869999999983,-1,1,True
ABOT,Prophet,ABOT_predictions_20260311_054420_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,930.64,2026-03-19,107.0,99578.48,-3579.1499999999933,28640.689999999984,96420.85,128640.68999999999,-0.035791499999999934,0.28640689999999985,25,0,0,10,0,15,0.3221983999999998,-1,1,True
ACIETF,Prophet,ACIETF_predictions_20260311_143055_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,15.12,2026-03-19,6614.0,100003.68,0.0,38162.78,100000.0,138162.78,0.0,0.38162779999999996,0,0,25,9,0,16,0.38162779999999996,0,1,True
ADAMS,Prophet,ADAMS_predictions_20260311_054736_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,77.78,2026-03-19,1286.0,100025.08,0.0,15817.799999999996,100000.0,115817.79999999999,0.0,0.15817799999999996,0,0,25,5,0,20,0.15817799999999996,0,1,True
ADMM,Prophet,ADMM_predictions_20260311_054915_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,47.9,2026-03-19,2088.0,100015.2,0.0,34264.07999999999,100000.0,134264.08,0.0,0.34264079999999986,0,0,25,12,0,13,0.34264079999999986,0,1,True
AGIL,Prophet,AGIL_predictions_20260311_055420_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,131.36,2026-03-19,761.0,99964.96,-3257.0799999999963,33445.94999999998,96742.92,133445.94999999998,-0.03257079999999996,0.3344594999999998,25,0,0,13,0,12,0.36703029999999975,-1,1,True
AGL,XGBoost,AGL_predictions_20260311_055614_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,50.51,2026-03-19,1980.0,100009.8,-17522.999999999993,41223.599999999984,82477.0,141223.59999999998,-0.1752299999999999,0.4122359999999998,10,0,15,12,0,13,0.5874659999999997,-1,1,True
AGSML,RandomForest,AGSML_predictions_20260311_143250_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,7.54,2026-03-19,13263.0,100003.02,-20292.38999999998,66315.0,79707.61000000002,166315.0,-0.20292389999999982,0.66315,11,0,14,13,0,12,0.8660738999999998,-1,1,True
AHCL,Prophet,AHCL_predictions_20260311_060154_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,13.25,2026-03-19,7547.0,99997.75,0.0,47923.45000000001,100000.0,147923.45,0.0,0.4792345000000001,0,0,25,13,0,12,0.4792345000000001,0,1,True
AICL,Prophet,AICL_predictions_20260311_060543_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,67.64,2026-03-19,1478.0,99971.92,0.0,66539.55999999997,100000.0,166539.55999999997,0.0,0.6653955999999996,0,0,25,10,0,15,0.6653955999999996,0,1,True
