symbol,model,prediction_file,pnl_mode,negative_mode,trading_days,first_date,last_date,ref_close,ref_price_date_used,shares,invested_notional,pnl_predicted,pnl_actual,final_equity_predicted,final_equity_actual,total_return_predicted,total_return_actual,days_long_predicted,days_short_predicted,days_flat_predicted,days_long_actual,days_short_actual,days_flat_actual,return_gap_actual_minus_predicted,total_return_sign_predicted,total_return_sign_actual,predicted_underperforms_actual
786,RandomForest,786_predictions_20260311_053835_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,38.79,2026-03-19,2578.0,100000.62,34184.27999999999,153107.41999999998,134184.28,253107.41999999998,0.3418427999999999,1.5310742,24,0,1,16,0,9,1.1892314000000002,1,1,True
AABS,XGBoost,AABS_predictions_20260311_054000_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,860.0,2026-03-19,116.0,99760.0,298.119999999994,34516.96000000001,100298.12,134516.96000000002,0.00298119999999994,0.3451696000000001,18,0,7,15,0,10,0.3421884000000001,1,1,True
ABL,Prophet,ABL_predictions_20260311_054224_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,170.03,2026-03-19,588.0,99977.64,5950.559999999986,21714.839999999953,105950.55999999998,121714.83999999995,0.05950559999999986,0.21714839999999952,25,0,0,11,0,14,0.15764279999999967,1,1,True
ACPL,RandomForest,ACPL_predictions_20260311_054616_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,267.02,2026-03-19,375.0,100132.5,1353.7500000000057,16271.249999999995,101353.75,116271.25,0.013537500000000056,0.16271249999999995,13,0,12,13,0,12,0.1491749999999999,1,1,True
AGHA,Prophet,AGHA_predictions_20260311_055121_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,6.39,2026-03-19,15649.0,99997.11,2816.820000000009,40530.91000000002,102816.82,140530.91000000003,0.028168200000000088,0.4053091000000002,17,0,8,14,0,11,0.3771409000000001,1,1,True
AGIC,RandomForest,AGIC_predictions_20260311_055248_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,34.53,2026-03-19,2896.0,99998.88,15232.95999999997,31160.96,115232.95999999996,131160.96,0.1523295999999997,0.3116096,19,0,6,15,0,10,0.15928000000000028,1,1,True
AGP,XGBoost,AGP_predictions_20260311_055805_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,191.67,2026-03-19,522.0,100051.73999999999,10998.539999999997,43221.600000000006,110998.54,143221.6,0.10998539999999997,0.43221600000000004,19,0,6,11,0,14,0.3222306000000001,1,1,True
AGTL,RandomForest,AGTL_predictions_20260311_060015_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,320.16,2026-03-19,312.0,99889.92000000001,2483.5199999999977,21602.87999999997,102483.52,121602.87999999998,0.024835199999999977,0.2160287999999997,23,0,2,10,0,15,0.1911935999999997,1,1,True
AHL,RandomForest,AHL_predictions_20260311_060353_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,85.3,2026-03-19,1172.0,99971.59999999999,8754.840000000015,44383.64,108754.84000000001,144383.64,0.08754840000000015,0.4438364,10,0,15,14,0,11,0.3562879999999999,1,1,True
AKBL,XGBoost,AKBL_predictions_20260311_060738_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,82.64,2026-03-19,1210.0,99994.4,22735.900000000012,44927.30000000002,122735.90000000001,144927.30000000002,0.22735900000000012,0.4492730000000002,20,0,5,10,0,15,0.22191400000000008,1,1,True
AKDHL,RandomForest,AKDHL_predictions_20260311_060907_20260304_20260511.csv,shares,flat,24,2026-03-04,2026-04-09,142.14,2026-03-19,704.0,100066.56,21267.839999999997,26456.319999999996,121267.84,126456.31999999999,0.21267839999999996,0.26456319999999994,10,0,14,7,0,17,0.05188479999999998,1,1,True
ALAC,RandomForest,ALAC_predictions_20260311_143531_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,11.54,2026-03-19,8666.0,100005.64,22531.60000000001,50522.78,122531.6,150522.78,0.2253160000000001,0.5052278,17,0,8,15,0,10,0.27991179999999993,1,1,True
ALIFE,XGBoost,ALIFE_predictions_20260311_061054_20260304_20260511.csv,shares,flat,24,2026-03-04,2026-04-09,33.38,2026-03-19,2996.0,100006.48000000001,1857.5200000000132,35892.07999999999,101857.52000000002,135892.08,0.018575200000000132,0.3589207999999999,12,0,12,5,0,19,0.34034559999999975,1,1,True
ALNRS,XGBoost,ALNRS_predictions_20260311_061152_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,120.39,2026-03-19,831.0,100044.09,1121.8499999999835,22545.03,101121.84999999998,122545.03,0.011218499999999836,0.2254503,6,0,19,5,0,20,0.21423180000000017,1,1,True
ALTN,XGBoost,ALTN_predictions_20260311_061339_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,8.6,2026-03-19,11628.0,100000.8,7790.759999999978,22674.59999999999,107790.75999999998,122674.59999999999,0.07790759999999979,0.22674599999999992,5,0,20,12,0,13,0.14883840000000015,1,1,True
AMBL,RandomForest,AMBL_predictions_20260311_143559_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,23.87,2026-03-19,4189.0,99991.43000000001,1466.149999999992,46833.02,101466.15,146833.02,0.01466149999999992,0.4683302,11,0,14,13,0,12,0.45366870000000004,1,1,True
AMTEX,XGBoost,AMTEX_predictions_20260311_061352_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,3.82,2026-03-19,26178.0,99999.95999999999,3664.9200000000037,58376.94,103664.92,158376.94,0.036649200000000035,0.5837694,4,0,21,13,0,12,0.5471202,1,1,True
ANL,Prophet,ANL_predictions_20260311_061544_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,8.56,2026-03-19,11682.0,99997.92000000001,5607.360000000004,38784.23999999997,105607.36,138784.23999999996,0.05607360000000004,0.3878423999999997,25,0,0,13,0,12,0.33176879999999964,1,1,True
ARCTM,RandomForest,ARCTM_predictions_20260311_143702_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,27.87,2026-03-19,3588.0,99997.56,37028.15999999999,69858.35999999996,137028.15999999997,169858.35999999996,0.3702815999999999,0.6985835999999995,13,0,12,12,0,13,0.32830199999999965,1,1,True
ASHT,RandomForest,ASHT_predictions_20260311_062243_20260304_20260511.csv,shares,flat,23,2026-03-04,2026-04-09,17.6,2026-04-09,5682.0,100003.20000000001,4772.880000000019,32387.400000000005,104772.88000000002,132387.4,0.04772880000000019,0.32387400000000005,4,0,19,6,0,17,0.27614519999999987,1,1,True
ATBA,RandomForest,ATBA_predictions_20260311_063002_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,189.89,2026-03-19,527.0,100072.03,6803.569999999998,30597.61999999999,106803.56999999999,130597.62,0.06803569999999998,0.3059761999999999,22,0,3,12,0,13,0.23794049999999994,1,1,True
ATLH,RandomForest,ATLH_predictions_20260311_063303_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,1469.28,2026-03-19,68.0,99911.04,4456.04,30181.119999999995,104456.04,130181.12,0.0445604,0.30181119999999995,23,0,2,10,0,15,0.25725079999999995,1,1,True
ATRL,RandomForest,ATRL_predictions_20260311_063459_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,812.54,2026-03-19,123.0,99942.42,1683.8700000000067,43268.93999999996,101683.87000000001,143268.93999999994,0.016838700000000068,0.4326893999999996,9,0,16,13,0,12,0.4158506999999996,1,1,True
AVN,Prophet,AVN_predictions_20260311_063653_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,32.12,2026-03-19,3113.0,99989.56,6039.220000000003,44547.02999999999,106039.22,144547.03,0.06039220000000003,0.44547029999999993,25,0,0,11,0,14,0.3850780999999999,1,1,True
BAHL,Prophet,BAHL_predictions_20260311_064038_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,151.31,2026-03-19,661.0,100015.91,10926.330000000002,38000.89,110926.33,138000.89,0.10926330000000002,0.3800089,25,0,0,11,0,14,0.2707456,1,1,True
BAPL,Prophet,BAPL_predictions_20260311_064159_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,38.69,2026-03-19,2585.0,100013.65,13803.900000000009,41618.50000000003,113803.90000000001,141618.50000000003,0.13803900000000008,0.4161850000000003,25,0,0,11,0,14,0.2781460000000002,1,1,True
BECO,RandomForest,BECO_predictions_20260311_064643_20260304_20260511.csv,shares,flat,25,2026-03-04,2026-04-09,4.55,2026-03-19,21978.0,99999.9,879.1200000000204,46153.80000000001,100879.12000000002,146153.80000000002,0.008791200000000204,0.4615380000000001,17,0,8,9,0,16,0.4527467999999999,1,1,True
